SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","LawBit T/A LawBite ","","","49%","£59,590","£120,000 ","68","6.48%","49"," 49%","Wandsworth, London","EIS,","18","64","25","Lawbite aspires to democratise the law and offer affordable plain English documents. Access to expert legal advice for document editing, disputes, negotiation, mediation and arbitration. Partnership with direct access barristers  a new development of an initiative that is constantly evolving, conceptually and technologically. Recently endorsed at our Google Campus event by Minister for Skills and Enterprise Matthew Hancock. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8a2c8ca88328138ab156a236a0802daf.jpg"
"2","4x4 Aviation ","","","5%","£3,230","£58,000 ","11","25.00%","53"," 8%","Kent","SEIS,","15","4","0","Aiming to make Vertical Take Off And Landing (VTOL) flight commercially viable.4X4 Aviation is a developer of aircraft and control software. The company aims to improve aviation by making Vertical Take Off And Landing aircraft a commercially viable technology. The company’s ultimate aim is to commercialize its patented technology in Versatile Vehicle Plane design powered by electric turbines and generators in various sizes and applications. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_e97ec6381a03d891906120ebe447fd9f.jpg"
"3","Atlantic Kitchen ","","","17%","£20,710","£120,000 ","46","24.00%","23"," 17%","Camden, London","SEIS,","30","11","0","Atlantic Kitchen makes nutritious, organic food using seaweed from Ireland. Our goal is to transform the UK food market by introducing seaweed in ready-to-serve formats that could appeal to a broad range of customers. Our long-term goal is to be the ‘go-to’ brand for edible seaweed in all its forms. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_dd1a070ca79990115177b36eed4cc293.jpg"
"4","Smart Sofa ","","","1%","£190","£60,000 ","5","30.00%","53"," 6%","Isleworth, Greater London","SEIS,","0","0","0","Many of us have been there, trying to get a new sofa up the stairs, in the loft or down a basement  and how many times do we wish we could change our sofa from a three seated to a corner sofa or just add additional seats as our circumstances change?At Smart Sofa we have designed a flat packed modular sofa that we hope answers all of the above questions. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_25d1c703eeee3cd9386041a02a2a0b12.jpg"
"5","East End Manufacturing ","","","175%","£189,200","£108,000 ","178","10.71%","15"," 100%","Tower Hamlets, London","EIS,","0","1","4","East End Manufacturing champions ‘Made in Britain’ by producing clothing in London. Existing clients sell in Debenhams and House of Fraser. Launched by Mayor of London, Boris Johnson, the company expanded through Crowdcube in August. After talks this month, we are hoping to sell our own brand products to worldwide online fashion store ASOS.com which sells in 237 countries and will soon launch in China. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_99756e19be4e4c6d5ed7bac9b322cec4.jpg"
"6","WallJAM ","","","119%","£119,740","£100,000 ","89","10.00%","8"," 100%","Stevenage, Hertfordshire","EIS,","3","10","3","WallJAM is a shaped, interactive rebound wall and sports activity zone, designed to get people of all age groups and ability levels active, in a fun and intuitive way. WallJAM aims to significantly drive sports participation levels across the UK through repackaging the way sport is delivered at grass root level. The shape, material and graphics encourage repetition, with scope to deliver a ‘predictably unpredictable’ ball return. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_4577854f541bf912f90cc80450da5833.jpg"
"7","STS Yacht Services ","","","1%","£230","£25,000 ","7","7.15%","49"," 6%","Plymouth, Devon","EIS,SEIS","0","1","1","STS Yacht Services provides bespoke supply of high end 'below deck' items, such as flatware, stemware, dinnerware, bedding, crew uniforms etc. for superyachts. They offer an online catalogue where the user browses and selects items that they are interested in purchasing. STS then takes samples of these items to the boat in order to give the client the opportunity to experience and compare these items in their intended environment, prior to purchase. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ff1044b681d60873ad8b5f5fdf93df51.jpg"
"8","Zeevon ","","","3%","£3,410","£100,000 ","7","10.00%","57"," 8%","Lambeth, London","EIS,","0","0","0","Zeevon.com is a multi-channel (online-instore-mobile) cycling and triathlon store with the aim of offering premier brands at value for money prices. It is an online destination to buy sports clothing, accessories and bikes. It markets throughout the UK and parts of Europe. Our customers are the worldwide cycling and triathlon community. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_2dc98ac888b739eb4f8f9a9c77e482b0.jpg"
"9","Clear Water Revival ","","","1%","£1,240","£160,000 ","15","10.00%","53"," 6%","Bristol, City of Bristol","EIS,","0","0","0","Clear Water Revival design and construct chlorine free, natural swimming pools and ponds. They have developed a biological filtration technology that uses nature's processes, not chemicals to clean and sanitise swimming pool water and have built over 60 natural pools in the UK. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_046c106479765544096da8f48822cf7f.jpg"
"10","AngelBerry ","","","11%","£17,990","£150,000 ","36","9.00%","51"," 11%","Bristol, South Gloucestershire","EIS,","0","0","0","Launched in December 2011, AngelBerry is an international frozen yogurt franchise with six stores operating and with contractual agreement to open 50 new stores in the coming years. The global frozen yogurt market is experiencing impressive growth according to Mintel with a market size increase of 74% between 2011 and 2013, in comparison to the ice cream market which saw an increase of only 3.9%. AngelBerry is now serving over 15,000 customers per week. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fba6595b2aab262c19c1cb724f7019cd.jpg"
"11","Red Advertising ","","","78%","£313,750","£400,000 ","28","15.00%","21"," 78%","Cannock, Staffordshire","EIS,","0","0","0","Recruitive (Red Advertising Ltd) is an award winning Enterprise SaaS HR Solutions provider providing a suite of 5 HR tools for recruiters and SME HR departments. This placement is supported by Johnson Capital Associates. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cdd6ed4320db72a2598c9a4f96b2c077.jpg"
