SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","Sporting Mouth ","","","97%","£169,960","£175,000 ","35","15.00%","46"," 97%","West Malling, Kent","EIS,SEIS","10","6","25","Sporting Mouth is a new sports prediction platform. It enables fans to use their sporting judgement to compete against each for rewards other rather than money, including a wide variety of sporting lifestyle products and services as well as sponsor prizes. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8c2cb0241c2fd2f1a97c4aba6370f08a.jpg"
"2","The New Craftsmen ","","","74%","£112,170","£150,000 ","32","5.40%","19"," 74%","Mayfair, London","EIS,","27","49","9","The New Craftsmen offers a range of high quality hand-crafted products made in Britain.They intend to create a business and a brand in a sector which, whilst currently disorganised and lacking in high quality retail outlets, is worth in excess of £883m in England alone. They focus on the top end - placing craft into the luxury sector.They have now traded for just over twelve months - giving them invaluable experience. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_00e07e9d1b177104d39a61d51c3adf73.jpg"
"3","Blanco Nino ","","","46%","£27,750","£60,000 ","41","6.64%","34"," 46%","Islington, London","EIS,SEIS","235","13","15","Blanco Niño, working directly with Irish farmers, aims to establish an authentic corn tortilla factory in Dublin Ireland. Producing unadulterated and sustainably produced corn tortillas, tortilla chips and masa haina for the European market.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_06e20d11cfb80dfe53b427640b704914.jpg"
"4","One City ","","","129%","£90,940","£70,000 ","160","5.00%","11"," 100%","Henley-On-Thames, Oxfordshire","SEIS,","13","132","12","One City is an online and offline gateway to an estimated £12bn+ global flexible workspace industry. 48% of us work remotely for at least half the week. One City aims to provide a global network of inspiring workplaces, allowing work anytime, anyplace, anywhere – online and offline.And you only pay for what you use. Property owners can participate in a global franchise with a digital platform and employers can reduce their property overheads through mobile working. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_5323216c7c5b52f2d0e97ede0507bfee.jpg"
"5","Crumpet Cashmere ","","","188%","£141,170","£75,000 ","92","10.00%","35"," 100%","Colchester, Essex","EIS,","23","3","2","Crumpet is a niche luxury fashion brand recognised in the fashion industry and now looking to grow its online retail platform and customer base. Offering distinctive, desirable cashmere knitwear, the brand is looking to become a leading player in the retail market capitalising on the growth of the affordable luxury market . Worn by celebrities such as Pippa Middleton , Elle McPhersonand Alexa Chung. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_888d5dd544f291ebcad78a00a223c795.jpg"
"6","Zero Carbon Food ","","","110%","£331,980","£300,000 ","304","15.00%","10"," 100%","Wandsworth, London","EIS,","127","97","17","Backed by celebrity chef Michel Roux Jr and Florette’s Managing Director, Zero Carbon Food utilizes redundant underground spaces in London, producing leafy greens, herbs and micro greens using LED lights and hydroponics, producing fresh ingredients with a minimal carbon footprint. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fabe25f815ed604b3086479afb026d93.jpg"
"7","Clear Water Revival ","","","81%","£129,750","£160,000 ","76","12.50%","5"," 81%","Bristol, City of Bristol","EIS,","90","40","11","Clear Water Revival have been successfully designing and constructing chlorine free, natural swimming pools since 2006. They have developed a biological filtration technology that uses nature's processes, not chemicals to clean and sanitise swimming pool water. Their product aims to become the filtration system of choice in the swimming pool market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_046c106479765544096da8f48822cf7f.jpg"
"8","Solar 350 ","","","8%","£11,120","£125,000 ","21","10.39%","44"," 10%","City of Westminster, London","EIS,SEIS","3","9","1","Solar 350 is a developer of large scale solar parks in locations that are deemed most suitable to the technology to generate the best possible financial returns. This is based on high levels of solar irradiation, electricity prices and levels of subsidy along with low land, labour and development costs. Solar 350 aims to provide the most Commercial Solutions to Climate Change. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_674a6e58fba65fc28d3af3554b4d5cee.jpg"
"9","Stacking Systems ","","","54%","£43,710","£80,000 ","32","10.00%","27"," 54%","Wolverhampton","SEIS,","2","1","0","Pallet Eater hopes to fulfil a universal need for an easier, more efficient and more mobile means of collating and stacking empty pallets. It stacks up to five times faster than a forklift. Pallet Eater also stacks squarely and is completely mobile. In addition, it can strap each column, all packed up and ready for re-use. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_caef7493304aff04d4883ad3d347d191.jpg"
"10","EMpak ","","","2%","£3,010","£150,000 ","7","17.50%","54"," 6%","Tiverton, Devon","EIS,SEIS","1","5","0","EMpak have designed a one-shot medication delivery, which is suitable for pain relief, antihistamines, travel sickness, period pain, migraine and more. Designed to fit into a handbag, pocket, rucksack or glove compartment for use whilst out and about. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_b752385955b29885629d95b6f96d19e2.jpg"
