SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","BandApp ","Adam Perry","Media and Creative Services,Other,Technology","1%","£3,300","£250,000 ","16","5.00%","52"," 6%","West Bletchley, Bletchley, Milton Keynes","EIS,","5","13","6","BandApp is a music ecosystem for Bands, Artists, DJs and Festivals everywhere to create and share their world, direct to consumers’ pockets. In a mobile world, BandApp is an online platform for Artists to build a free smartphone App to instantly share with new Fans, wherever they are. BandApp is a mobile marketplace for music and a tool for artists and fans. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7cf426a4065f76c54334083a4e37c012.jpg"
"2","Velotec ","Colin Kemp","Consumer products","20%","£20,390","£100,000 ","7","25.00%","54"," 20%","Hayling Island, Hampshire","EIS,","0","0","0","Velosiren have developed a scientifically designed bike warning system which allows cyclists to “make themselves seen by making themselves heard”. It can be easily retrofitted to all bicycles, using advanced Pyschoacoustic Technology to produce a sound that can be heard above heavy urban traffic allowing cyclists to warn other road users of their presence. Velosiren aspires to appeal to a market of 20+ million people, forecasted to grow 23% by 2016. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_936c6dcc1c7854c9831e7726d43310db.jpg"
"3","Solarmass ","Paul Cropper","Manufacturing,Environmental and Ethical,Technology","75%","£75,850","£100,000 ","62","10.00%","50"," 75%","Sheffield, South Yorkshire","EIS,SEIS","0","2","0","Solarmass Ltd have designed and developed a lightweight, highly-efficient solar panel which is aesthetically pleasing with the appearance of a regular roof tile designed to be part of the roof cover. The manufacturing and transportation process is more sustainable than traditional solar panels. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_abf0b6a958d75fc52d89b2bf3c163fe0.jpg"
"4","Crowd Mortgage ","Luke Barnes","Professional and Business Services,Internet Business,Technology","52%","£44,650","£85,000 ","60","13.08%","50"," 52%","Liverpool, Merseyside","EIS,","1","3","0","Crowd Mortgage aim to be the most revolutionary mortgage solution to hit the market in decades. Not only evolving the outdated mortgage systems, but breaking new ground in the nascent and fast growing crowd funding industry.We... Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cc4cc9919d039e781f3e28802ac948a0.jpg"
"5","inpixnow.com ","Jeremy Nagley","Internet Business","26%","£14,590","£55,000 ","13","25.00%","26"," 26%","Southwark, London","EIS,SEIS","0","0","0","Inpixnow.com creates event-specific photo sharing websites to the benefit of event organisers. A customisable App on both Apple and Android crowd-sources images of the event and uploads them to a website in client-specific areas. Images are then pulled through to the organiser's website. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_a5a14dff4884db793b67505619a3638e.jpg"
"6","Dine In ","Evan Graj","Food and Drink,Retail,Internet Business","69%","£207,630","£300,000 ","27","23.08%","21"," 69%","Islington, London","EIS,","0","1","0","Dine In brings the fine dining experience closer to home by using their own fleet of food delivery drivers to deliver great quality food on behalf of London’s best restaurants and chefs. Their 'Delivery Tracker Platform' fully integrates all the stages of the food ordering process and keeps the customers alerted along the way. For companies they offer cost savings tools for them to process the expenses related to food. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_429de556dd14a87bea1c1953699dfb57.jpg"
"7","Tribewanted ","Ben Keene and The Team","Leisure and Tourism,Environmental and Ethical,Technology","39%","£78,550","£200,000 ","24","22.22%","1"," 39%","Camden, London","EIS,SEIS","26","27","6","Tribewanted are aiming to build a collection of the very best eco-holiday destinations on the planet. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_34d30f6d2d4bb22c2f4ee85130720e04.jpg"
"8","Catwalk Yourself ","Fabio Jesus D'Elia","IT and Telecommunications ,Media and Creative Services,Internet Business","45%","£38,440","£85,000 ","21","30.00%","27"," 45%","Wandsworth, London","EIS,","0","0","0","Catwalk Yourself is an online fashion encyclopaedia and social & business community.Features include live coverage of fashion shows, history of fashion since 1920, designers, top models, most influential fashion icons and photographer’s biographies, fashion in films, first complete fashion dictionary, daily news coverage, trends, blog and much more. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8d216ba1144806b115eda84f33db660b.jpg"
"9","gamesGRABR ","Tony Pearce","Retail,Internet Business,Technology","108%","£162,130","£150,000 ","122","7.00%","26"," 100%","Bromley, Greater London","EIS,","36","18","16","gamesGRABR is a social network for people that love games  available on mobile, tablet and PC. gamesGRABR gives the user the ability to discover, collect and play the games they love.The website is developed in a contemporary ‘pinboard-style’ interface allowing the user to curate their own collections, discover, engage, play and share them with other users with similar interests. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_12d620cbbe33aa106b16a6f0ff31861b.jpg"
"10","Deskjock ","Andrew Roy","IT and Telecommunications ,Internet Business,Technology","16%","£20,900","£125,000 ","11","30.00%","11"," 16%","Trafford","SEIS,","1","4","0","Deskjock is a virtual call centre focused on recruiting home working telesales. There are currently 3.7 million home workers in the UK and a staggering 39 million home based businesses in the US with a new one created every 12 seconds. Deskjock intends to become the go to place for people looking for home based jobs and in the process a necessity for employers to not only advertise for FREE but to subscribe to our very unique management tools. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_e3edb0ab5871bc7b85b1d86541425cab.jpg"
