SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","Ecco Recordings ","","","20%","£18,200","£90,000 ","26","12.50%","17"," 20%","Newton Abbot, Devon","EIS,","0","0","0","Ecco Recordings is an independent record label and artist management company. Their first signing 'These Reigning Days' has had success and critical acclaim. Having been invited to join the likes of Adele, Fleetwood Mac and Mumford and Sons on the prestigious International Talent Agency’s roster, the band is soon to release their debut album. Ecco Recordings is now ready to launch the band internationally and to develop their pipeline of new emerging musical talent. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_52b073154598adc39d0c161a42058ebe.jpg"
"2","Red Advertising ","","","78%","£315,450","£400,000 ","33","15.00%","17"," 78%","Cannock, Staffordshire","EIS,","0","0","0","Recruitive (Red Advertising Ltd) is an award winning Enterprise SaaS HR Solutions provider providing a suite of 5 HR tools for recruiters and SME HR departments. This placement is supported by Johnson Capital Associates. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cdd6ed4320db72a2598c9a4f96b2c077.jpg"
"3","Music Practiced Perfectly ","","","3%","£4,140","£150,000 ","9","15.00%","56"," 8%","Burntwood, Staffordshire","EIS,","0","2","0","As an E-Commerce business, Guitar Practiced Perfectly plans to open up a new and exciting experience for those who are new to the guitar, or more experienced players who want to develop their playing further. With a new educational module, the business is to expand with multi languages and plans to penetrate the Chinese and Indian markets. Music Practiced Perfectly also plan to introduce other instruments opening up an even larger market across the world. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_33c20649e83494012948c48f322b4836.jpg"
"4","AngelBerry ","","","14%","£22,200","£150,000 ","44","9.00%","47"," 14%","Bristol, South Gloucestershire","EIS,","2","2","0","Launched in December 2011, AngelBerry is an international frozen yogurt franchise with six stores operating and with contractual agreement to open 50 new stores in the coming years. The global frozen yogurt market is experiencing impressive growth according to Mintel with a market size increase of 74% between 2011 and 2013, in comparison to the ice cream market which saw an increase of only 3.9%. AngelBerry is now serving over 15,000 customers per week. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fba6595b2aab262c19c1cb724f7019cd.jpg"
"5","LawBit T/A LawBite ","","","55%","£66,840","£120,000 ","78","6.48%","45"," 55%","Wandsworth, London","EIS,","18","77","25","LawBite is an online legal service providing Simple Law for Small Companies. Offering affordable, plain English documents and a virtual law firm wrapped around its platform. Partnership with direct access barristers and increasing numbers of potential partners with large SME communities driving traffic to LawBite. Recently endorsed at our Google Campus event by Minister for Skills and Enterprise Matthew Hancock. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8a2c8ca88328138ab156a236a0802daf.jpg"
"6","eMoneyUnion.com ","","","23%","£69,780","£300,000 ","66","15.00%","13"," 23%","Wilmslow, Cheshire East","EIS,SEIS","1","105","22","eMoneyUnion is a peer-to-peer lending platform with the aim of providing a personal loan offering to consumers that maybe currently excluded from mainstream finance. eMoneyUnion also aim to provide finance for cars, home improvements and other purchases. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_91dcae9e5146bcc813adea83cf7371f7.jpg"
"7","East End Manufacturing ","","","184%","£199,600","£108,000 ","186","10.71%","11"," 100%","Tower Hamlets, London","EIS,","0","1","4","East End Manufacturing champions ‘Made in Britain’ by producing clothing in London. Existing clients sell in Debenhams and House of Fraser. Launched by Mayor of London, Boris Johnson, the company expanded through Crowdcube in August. After talks this month, we are hoping to sell our own brand products to worldwide online fashion store ASOS.com which sells in 237 countries and will soon launch in China. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_99756e19be4e4c6d5ed7bac9b322cec4.jpg"
"8","WallJAM ","","","125%","£125,330","£100,000 ","93","10.00%","4"," 100%","Stevenage, Hertfordshire","EIS,","3","10","3","WallJAM is a shaped, interactive rebound wall and sports activity zone, designed to get people of all age groups and ability levels active, in a fun and intuitive way. WallJAM aims to significantly drive sports participation levels across the UK through repackaging the way sport is delivered at grass root level. The shape, material and graphics encourage repetition, with scope to deliver a ‘predictably unpredictable’ ball return. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_4577854f541bf912f90cc80450da5833.jpg"
"9","Lets Rent ","","","53%","£40,050","£75,000 ","33","22.50%","21"," 53%","Manchester","EIS,SEIS","31","3","0","Lets Rent aims to improve the way landlords let their property. We think the traditional model of letting agents is out-dated – expensive and inefficient. Our modern approach at Lets Rent aims to benefit both the landlord and the tenant. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_13605b29abd27bc8aae2ca66ce95912f.jpg"
"10","Atlantic Kitchen ","","","34%","£40,830","£120,000 ","50","24.00%","19"," 34%","Camden, London","SEIS,","30","16","0","Atlantic Kitchen makes nutritious, organic food using seaweed from Ireland. Our goal is to transform the UK food market by introducing seaweed in ready-to-serve formats that could appeal to a broad range of customers. Our long-term goal is to be the ‘go-to’ brand for edible seaweed in all its forms. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_dd1a070ca79990115177b36eed4cc293.jpg"
"11","Capricorn Beverages ","","","1%","£2,450","£175,000 ","30","15.00%","25"," 6%","Camden, London","EIS,","1","0","0","Capricorn Beverages is a beverage brand development, sales and marketing company with Bondi Australian Premium Beer as its key brand. The aim of this fundraising is to launch Bondi nationally in the UK & in selected EU markets in early 2014 having already undergone market research, trials and consumer awareness campaigns and a recent brand redesign. In June 2013 Bondi was selected in UK’s The Morning Advertiser’s Top 50 World Beers. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_de48f1c148d23098c154786771f97624.jpg"
"12","Clear Water Revival ","","","2%","£3,510","£160,000 ","21","10.00%","56"," 6%","Bristol, City of Bristol","EIS,","0","0","0","Clear Water Revival design and construct chlorine free, natural swimming pools. They have developed a biological filtration technology that uses nature's processes, not chemicals to clean and sanitise swimming pool water and have built over 60 natural pools in the UK. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_046c106479765544096da8f48822cf7f.jpg"
"13","Artisan Burger Company ","","","14%","£35,360","£240,000 ","6","15.00%","56"," 14%","Kinfauns, Perth and Kinross","SEIS,","0","12","2","Artisan Burger Company plans to open a chain of restaurants, which offer handmade gourmet Beef Burgers, hand cured Salt Beef and slow cooked Pulled Pork burgers combined with craft beer and artisan cider. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_21f7d44641727bfd84484900372d3063.jpg"
"14","Zeevon ","","","5%","£5,360","£100,000 ","11","10.00%","53"," 8%","Lambeth, London","EIS,","0","0","0","Zeevon.com is a multi-channel (online-instore-mobile) cycling and triathlon store with the aim of offering premier brands at value for money prices. It is an online destination to buy sports clothing, accessories and bikes. It markets throughout the UK and parts of Europe. Our customers are the worldwide cycling and triathlon community. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_2dc98ac888b739eb4f8f9a9c77e482b0.jpg"
"15","4x4 Aviation ","","","5%","£3,330","£58,000 ","12","25.00%","49"," 8%","Kent","SEIS,","46","4","0","Aiming to make Vertical Take Off And Landing (VTOL) flight commercially viable.4X4 Aviation is a developer of aircraft and control software. The company aims to improve aviation by making Vertical Take Off And Landing aircraft a commercially viable technology. The company’s ultimate aim is to commercialize its patented technology in Versatile Vehicle Plane design powered by electric turbines and generators in various sizes and applications. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_b60afd6d405f395101342b75a60d9061.jpg"
"16","Yeezey ","","","4%","£2,590","£60,000 ","7","7.90%","48"," 8%","Islington, London","EIS,SEIS","7","1","2","Yeezey is a city-based website and mobile application that connects local customers and retailers. It plans to become the platform of choice for retailers looking to organise sales events online and an opportunity for buyers in search of local discovery and discounts.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_14e5b9285e7748aff098512ef166f8b3.jpg"
"17","Beach Road Design ","","","1%","£130","£35,000 ","4","7.50%","45"," 6%","Portishead, North Somerset","EIS,","0","7","0","We believe that we have created a contemporary and intricately designed kitchen dish drainer that aspires to visually enhance a kitchen space. The aim of Asinka’s design is to enable the drip tray to send drained water back in to a sink unit which allows the item to stand directly on work surfaces in the absence of a draining board. This should allow plates, cutlery, glassware or delicate items to be stacked alongside pans or larger cookware. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_d477bfc658090b8c8d90d4093c455378.jpg"
"18","Smart Sofa ","","","1%","£350","£60,000 ","7","30.00%","49"," 6%","Isleworth, Greater London","SEIS,","1","0","0","Many of us have been there, trying to get a new sofa up the stairs, in the loft or down a basement  and how many times do we wish we could change our sofa from a three seated to a corner sofa or just add additional seats as our circumstances change?At Smart Sofa we have designed a flat packed modular sofa that we hope answers all of the above questions. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_25d1c703eeee3cd9386041a02a2a0b12.jpg"
"19","Projects Host ","","","9%","£9,910","£100,000 ","11","11.00%","40"," 10%","Oldbury, West Midlands","EIS,","4","15","0","Projects Host is an internet solutions provider and has developed a Cloud-based biometric authentication for online transactions and payments on Smartphones and tablets. The launch of this technology aims to capitalise on the adoption of the Biometric Solution for financial transactions, with the mission of increasing the safety and security of online banking and payment against fraud. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7e224849c811fcdf4ddd00854c485937.jpg"
"20","TouristHop ","","","1%","£60","£64,000 ","2","9.00%","54"," 6%","Gillingham, Medway","EIS,SEIS","4","0","0","TouristHop is a website which provides users with the ability to compare local tourist activity service providers. The platform will begin as an intuitive interactive map to allow simple comparisons. Initially launching in Tenerife. With funding TouristHop will expand globally. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8d5076a794b3c694d2272b1fc3fa4e06.jpg"
"21","STS Yacht Services ","","","1%","£230","£25,000 ","7","7.15%","45"," 6%","Plymouth, Devon","EIS,SEIS","0","1","1","STS Yacht Services provides bespoke supply of high end 'below deck' items, such as flatware, stemware, dinnerware, bedding, crew uniforms etc. for superyachts. They offer an online catalogue where the user browses and selects items that they are interested in purchasing. STS then takes samples of these items to the boat in order to give the client the opportunity to experience and compare these items in their intended environment, prior to purchase. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ff1044b681d60873ad8b5f5fdf93df51.jpg"
"22","Gift Wrapped & Gorgeous ","","","1%","£980","£50,000 ","9","10.00%","41"," 6%","Bodmin, Cornwall","EIS,","71","101","3","Gift Wrapped & Gorgeous brings together people looking for beautiful gifts, home ware and jewellery, and the work of the UK's designer makers and creative businesses.They carefully handpick small creative businesses to showcase and sell a selection of UK designed lifestyle products and gift ideas for any gift occasion. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_295cd590034ee7962194851fa9bf88f1.jpg"
"23","KoppiT ","","","1%","£20","£25,000 ","2","10.00%","52"," 6%","Charter Alley, Hampshire","SEIS,","18","4","0","KoppiT turns the current e-commerce model on its head. Usually e-commerce users have to find the sellers of the items they want, whereas KoppiT invites the sellers to find the buyers. Its goal is to use the Internet’s reach to enable the vast global community of collectors, hobbyists and enthusiasts, who all share a passion for their specific interest to interact, trade and socialise. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_e4f916a434c74ac63e6a3cb3a2bd0394.jpg"
