SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","GraduRates ","Jothan Webb","Education,Internet Business,Technology","83%","£166,460","£200,000 ","43","25.00%","5"," 83%","Wandsworth, London","EIS,","5","6","10","GraduRates is a peer-to-peer platform providing loans for postgraduate students. Their aim is to increase the access and reduce the cost of postgraduate financing. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_9549be6fc5cb586bd3594897bb335c4e.jpg"
"2","Tidy Books ","Geraldine GRANDIDIER","Manufacturing,Retail,Consumer products","23%","£17,660","£75,000 ","27","7.50%","47"," 23%","Waltham Forest, London","EIS,","16","50","15","Tidy Books makes award winning, innovative and eco-friendly storage and bookcases that get kids reading! They are a favourite with parents and are sold via John Lewis and other major retailers. Our designs and business model are scalable for international growth, making inroads into the US, Australia and Europe with a number of retailers already established. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cca91eef875111fc95c8104bf5054151.jpg"
"3","Compare and Share Limited ","Benita Matofska","Internet Business,Technology","107%","£53,930","£50,000 ","76","6.25%","16"," 100%","City of Westminster, London","EIS,SEIS","12","40","4","Compare and Share (C&S) is a provider of technology-based solutions for asset-sharing, enabling consumers and companies to access and exploit the world’s under-used assets. Asset-sharing is a growing trend increasingly being referred to as the “Sharing Economy”.They are uniquely positioned to exploit this opportunity by aggregating sites like Zipcar and Airbnb on one platform alongside solutions to help companies maximise their unused resources. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_74b56492b407454a7f38746ea96e49da.jpg"
"4","Crowd Mortgage ","Luke Barnes","Professional and Business Services,Internet Business,Technology","39%","£33,870","£85,000 ","41","13.08%","58"," 39%","Liverpool, Merseyside","EIS,","1","1","0","Crowd Mortgage aim to be the most revolutionary mortgage solution to hit the market in decades. Not only evolving the outdated mortgage systems, but breaking new ground in the nascent and fast growing crowd funding industry.We... Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cc4cc9919d039e781f3e28802ac948a0.jpg"
"5","gamesGRABR ","Tony Pearce","Retail,Internet Business,Technology","96%","£145,010","£150,000 ","87","7.00%","34"," 96%","Bromley, Greater London","EIS,","21","14","16","gamesGRABR is a social network for people that love games  available on mobile, tablet and PC. gamesGRABR gives the user the ability to discover, collect and play the games they love.The website is developed in a contemporary ‘pinboard-style’ interface allowing the user to curate their own collections, discover, engage, play and share them with other users with similar interests. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_12d620cbbe33aa106b16a6f0ff31861b.jpg"
"6","80s Joint - Soda Fountain ","Turgay Abuzet & Retuj Sharma","Food and Drink","1%","£600","£120,000 ","3","40.00%","58"," 6%","Enfield, Greater London","EIS,SEIS","0","0","0","80s Joint - Soda Fountain offers a sit-in experience, enclosed in an eighties theme, where customers can purchase soda water flavoured with natural fruit and spice syrups, naturally carbonated without carbon dioxide gas, is designed to provide an affordable luxury and reflect upon the need for social activity and good taste. Their aim is to intertwine the culture of the eighties with the changing attitudes consumers have towards fast food chains. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_f7695179e40c96e8bb0239421b78fdba.jpg"
"7","Purple Harry ","Richard Hargreaves","Retail,Consumer products,Sport & Leisure","32%","£24,210","£75,000 ","51","20.00%","37"," 32%","Derby","EIS,","148","41","34","Purple Harry is an innovative cycling accessory company that entered the market with a simple but effective product to clean the most inaccessible areas of a bicycle and its components. From this a complimentary range was developed and since launch the company has enjoyed positive reviews from the industry press, qualified mechanics , professional cycling teams and amateur riders plus an invitation to be an official product supplier of the Tour of Britain for 2013.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_e74c7a59e11091151b334d948db782e4.jpg"
"8","NewGalexy Services ","Robert Glennie, Sarvarth Misra, Ricky McCracken","Professional and Business Services,Technology","214%","£214,170","£100,000 ","126","10.00%","1"," 100%","Glasgow, Glasgow City","EIS,","1","0","2","IntroductionNewGalexy Services Limited (NewGalexy) plans to raise £100,000 via this investment pitch to complete its current investment requirement of £650,000.NewGalexy is a new onshore Legal Process Outsourcing (LPO... Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_dd4095989f28f29e5eeb41a1ac811b71.jpg"
"9","EMpak ","The EMpak Team","Manufacturing,Health & Fitness,Consumer products","1%","£420","£200,000 ","6","10.00%","47"," 6%","Tiverton, Devon","EIS,SEIS","4","16","5","EMpak is a convenient medication delivery and packaging solution. The system contains two foil sealed capsules, water and a cup. Designed to be small enough to fit in a handbag, pocket, rucksack or glove compartment for use while on the go and is suitable for pain relief, antihistamines, travel sickness, period pain, migraine and more. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7e94a87a6e8364f6307d4f731dbacc27.jpg"
"10","Dine In ","Evan Graj","Food and Drink,Retail,Internet Business","20%","£60,760","£300,000 ","9","23.08%","29"," 20%","Camden, London","EIS,","0","0","0","Dine In brings the fine dining experience closer to home by using their own fleet of food delivery drivers to deliver great quality food on behalf of London’s best restaurants and chefs. Their 'Delivery Tracker Platform' fully integrates all the stages of the food ordering process and keeps the customers alerted along the way. For companies they offer cost savings tools for them to process the expenses related to food. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_429de556dd14a87bea1c1953699dfb57.jpg"
