SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","Zero Carbon Food ","","","145%","£435,730","£300,000 ","","","15"," 100%","Wandsworth, London","EIS,","137","109","19","Backed by celebrity chef Michel Roux Jr and Florette’s Managing Director, Zero Carbon Food utilizes redundant underground spaces in London, producing leafy greens, herbs and micro greens using LED lights and hydroponics, producing fresh ingredients with a minimal carbon footprint. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fabe25f815ed604b3086479afb026d93.jpg"
"2","Solar 350 ","","","12%","£15,680","£125,000 ","","","17"," 12%","City of Westminster, London","EIS,SEIS","5","65","1","Solar 350 is a developer of large scale solar parks in locations that are deemed most suitable to the technology to generate the best possible financial returns. This is based on high levels of solar irradiation, electricity prices and levels of subsidy along with low land, labour and development costs. Solar 350 aims to provide the most Commercial Solutions to Climate Change. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_674a6e58fba65fc28d3af3554b4d5cee.jpg"
"3","LocalPropertyIndex ","","","72%","£218,480","£300,000 ","","","54"," 72%","Chandler's Ford, Eastleigh, Hampshire","EIS,","0","1","0","LocalPropertyIndex.com is a venture capital backed property advertising web site targeting estate agents who need to advertise properties. Unlike their competitors, who charge a fixed monthly advertising fee, LPI's clients can advertise free of charge and only pay if they receive enquires from potential buyers/renters. The team has 8 years experience operating property portals and the CEO listed his previous business on the London Stock Exchange Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_62ebcc49f4c5a146e555d997a07151ef.jpg"
"4","UP Investments - The Crowdfunding Hub ","","","82%","£82,490","£100,000 ","","","33"," 82%","Bristol, City of Bristol","EIS,SEIS","7","20","2","UP is looking to unify the crowdfunding market by creating a centralised hub, designed for investors. In a potentially fragmented marketplace, UP plans to simplify crowdfunding by hosting investment opportunities, from across the market, on one site. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_082785d21f72c773e6e41535ea2878ed.jpg"
"5","Sust-it ","","","7%","£11,010","£150,000 ","","","54"," 10%","Gloucestershire","EIS,","14","2","0","Sust-it is an energy efficiency comparison website for electrical appliances and products. It ranks products by their running costs and CO2 emissions based on average usage, and presents this information in financial terms to save customers money. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_a8b3141938b15ab67f22f8093af1c13f.jpg"
"6","Skyrocket Phytopharma (UK) ","","","6%","£18,260","£300,000 ","","","51"," 10%","Brighton and Hove, East Sussex","EIS,SEIS","0","0","0","Skyrocket Phytopharma is UK-based, ethical pharmaceutical company specialising in phyto-(plant-derived) medicines. Their first product is a skin cream for the treatment of muscle pains, joint inflammation and sports injuries. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_63154bae41de27e44ad9ba8ac2f48652.jpg"
"7","BerryWhite ","","","47%","£143,380","£300,000 ","","","38"," 47%","City of Westminster, London","EIS,","23","0","0","BerryWhite® manufactures, markets and sells non-carbonated organic fruit drinks. BerryWhite organic drinks, already sold in 27 countries, has just confirmed that they are now due to be sold in 50 Waitrose stores around the UK to complement their presence on Ocado. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_237727c639c978dc4f5e38611c8979ec.jpg"
"8","Stacking Systems ","","","98%","£78,920","£80,000 ","","","14"," 98%","Wolverhampton","SEIS,","3","2","6","Pallet Eater hopes to fulfil a universal need for an easier, more efficient and more mobile means of collating and stacking empty pallets. It stacks up to five times faster than a forklift. Pallet Eater also stacks squarely and is completely mobile. In addition, it can strap each column, all packed up and ready for re-use. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_caef7493304aff04d4883ad3d347d191.jpg"
"9","Clear Water Revival ","","","115%","£184,910","£160,000 ","","","2"," 100%","Bristol, City of Bristol","EIS,","99","71","16","Clear Water Revival have been successfully designing and constructing chlorine free, natural swimming pools since 2006. They have developed a biological filtration technology that uses nature's processes, not chemicals to clean and sanitise swimming pool water. Their product aims to become the filtration system of choice in the swimming pool market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_046c106479765544096da8f48822cf7f.jpg"
"10","Bikini Fling ","","","54%","£65,020","£120,000 ","","","5"," 54%","City of Westminster, London","SEIS,","15","19","20","Bikini Fling is a new British designer swimwear brand with ability to mix and match styles, sizes and colours to create a bespoke bikini. Bikini Fling is all about bold acts of confidence. They have had publicity in the likes of Vogue, Tatler, Red and Cosmopolitan. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7c2795c182f422ab6234e4e1cf586ac9.jpg"
"11","JewelStreet ","","","34%","£34,620","£100,000 ","","","46"," 34%","Bideford, Devon","EIS,","10","0","4","JewelStreet is the award winning online jewellery marketplace where designers and jewellery lovers meet. JewelStreet already boasts over 250 designers, an industry award and has secured a £138,000 grant. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_a50da2e2becf715f64c987a76f7e5e2f.jpg"
"12","Plan Bee ","","","4%","£8,600","£175,000 ","","","52"," 8%","Wishaw, North Lanarkshire","EIS,","0","1","5","Plan Bee specialise in the establishment and management of beehives, providing our own brand of Corporate Social Sustainability to businesses. We are an award winning, EU commission recognised, micro international business that has already secured investment from Scottish Co Investment Bank. Our clients include Balfour Beatty and Highland Spring. Own a share of this honey-making, planet-saving, bee-boosting, profit with a purpose business. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ba3d09727681e25b6df73417e7a3e9de.jpg"
"13","BuyMyWardrobe ","","","6%","£9,510","£150,000 ","","","59"," 10%","City of Westminster, London","EIS,","0","1","1","Once a secret among fashion industry insiders, with exclusive fashion recycling events held in upmarket locations around London, BuyMyWardrobe has evolved into an exciting new online destination to buy and sell pre-owned fashion. Launched in August 2012 and backed by high calibre investors including Carmen Busquets (founding investor in Net-A-Porter), BuyMyWardrobe is a peer to peer marketplace with a growing community – currently 70,000 users. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_2bc374b4996ae90cf1117310977936cd.jpg"
"14","EMpak ","","","17%","£25,660","£150,000 ","","","27"," 17%","Tiverton, Devon","EIS,SEIS","2","12","0","EMpak have designed a one-shot medication delivery, which is suitable for pain relief, antihistamines, travel sickness, period pain, migraine and more. Designed to fit into a handbag, pocket, rucksack or glove compartment for use whilst out and about. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_b752385955b29885629d95b6f96d19e2.jpg"
"15","HireJungle ","","","2%","£2,370","£100,000 ","","","34"," 6%","Greenwich, London","EIS,SEIS","0","0","0","HireJungle is UK's fastest growing peer to peer rental marketplace. Users can save money by hiring instead of buying stuff, or they can make money by hiring out spare goods commission-free. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6942656401f723bfe83636cba4aff30f.jpg"
"16","Chupamobile ","","","59%","£237,350","£400,000 ","","","44"," 59%","City of Westminster, London","EIS,","45","15","21","Chupamobile allows people to buy professional Apps and Games, such as the hit app ‘Flappy Bird’, built by Mobile App Developers, ready to be customised and distributed on the App Store. They have already taken over £200,000 through licensing in the first 3 months of 2014 – over 100% of the total 2013 revenue. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_5b2811dda00fef061dbc0bec1f3d28e6.jpg"
"17","Enistic ","","","26%","£33,200","£125,000 ","","","42"," 26%","Oxford, Oxfordshire","EIS,","3","7","55","Rising energy costs and government efficiency compliance requirements have increased demand for Enistic’s innovative energy saving technology. Established in 2009, Enistic has designed and installed energy saving systems in companies throughout the world. Pret a Manger, Airtricity, Honda, Fujitsu & Cambridge University to name a few have benefitted from energy cost reduction, improved environmental credentials and regulatory compliance. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_78f1fe755c3e938162d9ce78275c0467.jpg"
"18","Thor Drinks ","","","43%","£37,200","£85,000 ","","","13"," 43%","Enfield, London","EIS,SEIS","46","63","7"," Thor Drinks is a new range offering legendary refreshment to adults in bars, pubs and restaurants. We believe thatsweet and sickly soft drinks are monopolising the bar back fridges, and that Thor Drinks are challenging the old guard by capturing what we enjoy most in our favourite alcohol brands - crisp, dry flavours delivered with drama and passion.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_80e0db01dab7fa260f86cde03b24a9c6.jpg"
"19","GolfPunk Media ","","","5%","£2,560","£50,000 ","","","48"," 8%","Haywards Heath, West Sussex","EIS,SEIS","20","5","3","GolfPunk is a multi-media golf magazine platform created by the multi award winning Editor of the Year and founder of Loaded Magazine, Tim Southwell, with Ryder Cup legend Sam Torrance as President. GolfPunk was created as an antidote to the traditional golf magazines in a publishing world shifting heavily towards digital. GolfPunk was recently shortlisted for Digital Product Of The Year at the Independent Publisher Awards. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_4a09c7c1acd5b21a41480c361e204d1c.jpg"
"20","Empiribox ","","","102%","£51,000","£50,000 ","","","33"," 100%","Barnet, London","EIS,SEIS","55","5","10","Empiribox is as an engaging way primary school children can learn science, as a form of hands-on learning and investigation! For teachers, it aims to be innovative and ground-breaking, integrating a novel approach to teaching support and learning, with access to the equipment needed to 'enthral' a classroom. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_9d5b4bd9827d98661a564e096d6ae41d.jpg"
"21","myBarrister ","","","12%","£19,050","£150,000 ","","","38"," 12%","London","EIS,SEIS","16","44","45","myBarrister exploits changes in the £23bn UK legal sector by enabling businesses and individuals to find and appoint a barrister to swiftly resolve their legal issues. With an intelligent website, a growing membership and a proven ability to attract clients, myBarrister has already earned over £100,000 income. They are now seeking funding to dramatically increase membership, boost marketing and accelerate towards an early exit. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_05b8cdb2957995a5222c6ab6121470b5.jpg"
"22","Bigfoot Education ","","","15%","£23,390","£150,000 ","","","40"," 15%","Islington, London","EIS,","8","7","0","Bigfoot Tutors is an online marketplace in the booming £6 billion private tuition market. Bigfoot aims to be the Amazon of online learning. Students can find tutors from around the world and have live lessons in a 1-2-1 online classroom. Students can profile tutors by skills, qualifications, experience, and user ratings/reviews. Customers can book a free 15 minute trial lesson. 85% of free trials convert to paid lessons on the website. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_962fad6c82f7cac5596327eec1e98b2c.jpg"
"23","nibnibs ","","","4%","£6,190","£150,000 ","","","54"," 8%","Ripon, North Yorkshire","EIS,SEIS","4","1","0","nibnibs is a stylish range of premium nibbles manufactured in their bakery in Ripon. Available throughout the UK in a wide range of Independent deli/farmshops and quality retail outlets such as Whole Foods Market and also in Hampers including Virginia Hayward and John Lewis. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_c349e11d7ed9fa5b8f5cf84fead0a585.jpg"
"24","Blanco Nino ","","","182%","£109,650","£60,000 ","","","7"," 100%","Islington, London","EIS,SEIS","329","29","15","Blanco Niño, working directly with Irish farmers, aims to establish an authentic corn tortilla factory in Dublin Ireland. Producing unadulterated and sustainably produced corn tortillas, tortilla chips and masa haina for the European market.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_06e20d11cfb80dfe53b427640b704914.jpg"
