SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","TasterLab ","Ben Chappell","Internet Business","29%","£52,190","£175,000 ","27","14.00%","25"," 29%","Farringdon, London","EIS,","0","3","0","TasterLab is an award winning website that aims to make it as easy as possible for people to try new things, discover what they love doing and connect with others with similar interests. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_153ac7a2eb307d0fe8d258f2b84a6b19.jpg"
"2","Purple Harry ","Richard Hargreaves","Retail,Consumer products,Sport & Leisure","33%","£25,270","£75,000 ","57","20.00%","32"," 33%","Derby","EIS,","148","41","36","Purple Harry is an innovative cycling accessory company that entered the market with a simple but effective product to clean the most inaccessible areas of a bicycle and its components. From this a complimentary range was developed and since launch the company has enjoyed positive reviews from the industry press, qualified mechanics , professional cycling teams and amateur riders plus an invitation to be an official product supplier of the Tour of Britain for 2013.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_e74c7a59e11091151b334d948db782e4.jpg"
"3","Doctor Wellgood ","Al Campbell","Education,Health & Fitness,Sport & Leisure","10%","£10,900","£100,000 ","25","13.87%","49"," 10%","Cranleigh, Surrey","EIS,SEIS","0","0","0","Launched in February 2013, Doctor Wellgood is an online publishing venture that is dedicated to the lifestyle, wellbeing and health of young adults. The website creates an online environment that talks to them about issues that concern them in an engaging way.With minimal marketing spend the site has already had over 80,000 page views to 33,000 visitors. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7426d14a93dfdeea851fa859ae9a4fbf.jpg"
"4","Crowd Mortgage ","Luke Barnes","Professional and Business Services,Internet Business,Technology","49%","£42,330","£85,000 ","52","13.08%","53"," 49%","Liverpool, Merseyside","EIS,","1","3","0","Crowd Mortgage aim to be the most revolutionary mortgage solution to hit the market in decades. Not only evolving the outdated mortgage systems, but breaking new ground in the nascent and fast growing crowd funding industry.We... Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cc4cc9919d039e781f3e28802ac948a0.jpg"
"5","Solarmass ","Paul Cropper","Manufacturing,Environmental and Ethical,Technology","41%","£41,520","£100,000 ","33","10.00%","53"," 41%","Sheffield, South Yorkshire","EIS,SEIS","0","0","0","Solarmass Ltd have designed and developed a lightweight, highly-efficient solar panel which is aesthetically pleasing with the appearance of a regular roof tile designed to be part of the roof cover. The manufacturing and transportation process is more sustainable than traditional solar panels. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_abf0b6a958d75fc52d89b2bf3c163fe0.jpg"
"6","Dine In ","Evan Graj","Food and Drink,Retail,Internet Business","68%","£205,600","£300,000 ","19","23.08%","24"," 68%","Islington, London","EIS,","0","1","0","Dine In brings the fine dining experience closer to home by using their own fleet of food delivery drivers to deliver great quality food on behalf of London’s best restaurants and chefs. Their 'Delivery Tracker Platform' fully integrates all the stages of the food ordering process and keeps the customers alerted along the way. For companies they offer cost savings tools for them to process the expenses related to food. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_429de556dd14a87bea1c1953699dfb57.jpg"
"7","GraduRates ","Jothan Webb","Education,Internet Business,Technology","86%","£173,120","£200,000 ","53","25.00%","2"," 86%","Wandsworth, London","EIS,","5","6","10","GraduRates is a peer-to-peer platform providing loans for postgraduate students. Their aim is to increase the access and reduce the cost of postgraduate financing. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_9549be6fc5cb586bd3594897bb335c4e.jpg"
"8","BandApp ","Adam Perry","Media and Creative Services,Other,Technology","1%","£3,200","£250,000 ","15","5.00%","55"," 6%","West Bletchley, Bletchley, Milton Keynes","EIS,","3","13","6","BandApp is a music ecosystem for Bands, Artists, DJs and Festivals everywhere to create and share their world, direct to consumers’ pockets. In a mobile world, BandApp is an online platform for Artists to build a free smartphone App to instantly share with new Fans, wherever they are. BandApp is a mobile marketplace for music and a tool for artists and fans. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7cf426a4065f76c54334083a4e37c012.jpg"
"9","Catwalk Yourself ","Fabio Jesus D'Elia","IT and Telecommunications ,Media and Creative Services,Internet Business","40%","£34,160","£85,000 ","16","30.00%","30"," 40%","Wandsworth, London","EIS,","0","0","0","Catwalk Yourself is an online fashion encyclopaedia and social & business community.Features include live coverage of fashion shows, history of fashion since 1920, designers, top models, most influential fashion icons and photographer’s biographies, fashion in films, first complete fashion dictionary, daily news coverage, trends, blog and much more. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8d216ba1144806b115eda84f33db660b.jpg"
"10","DisarmCo ","Arpana Gandhi / CEO","Manufacturing,Professional and Business Services,Environmental and Ethical","44%","£66,420","£150,000 ","42","25.00%","27"," 44%","Southend-on-Sea","EIS,SEIS","0","3","0","DisarmCo’s product enables the disposal of landmines in a simple, cost effective and environmentally friendly way. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_5abf7c4465157d5ff0c0867dede189e0.jpg"
"11","gamesGRABR ","Tony Pearce","Retail,Internet Business,Technology","107%","£160,960","£150,000 ","118","7.00%","29"," 100%","Bromley, Greater London","EIS,","34","18","16","gamesGRABR is a social network for people that love games  available on mobile, tablet and PC. gamesGRABR gives the user the ability to discover, collect and play the games they love.The website is developed in a contemporary ‘pinboard-style’ interface allowing the user to curate their own collections, discover, engage, play and share them with other users with similar interests. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_12d620cbbe33aa106b16a6f0ff31861b.jpg"
"12","Compare and Share Limited ","Benita Matofska","Internet Business,Technology","155%","£77,830","£50,000 ","91","6.25%","11"," 100%","City of Westminster, London","EIS,SEIS","12","40","5","Compare and Share (C&S) is a provider of technology-based solutions for asset-sharing, enabling consumers and companies to access and exploit the world’s under-used assets. Asset-sharing is a growing trend increasingly being referred to as the “Sharing Economy”.They are uniquely positioned to exploit this opportunity by aggregating sites like Zipcar and Airbnb on one platform alongside solutions to help companies maximise their unused resources. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_74b56492b407454a7f38746ea96e49da.jpg"
"13","Crowdbuild ","The Team","Internet Business","12%","£18,870","£150,000 ","31","15.00%","32"," 12%","Banstead, Surrey","SEIS,","0","0","0","Crowdbuild is a new crowdfunding website which focuses on peer-to-peer lending. Their platform brings property developers together with retail investors (the public) who will be offered equity stakes in individual property development and refurbishment projects. Their aim is to become the leading p2p platform in the UK for retail investors funding residential property developments. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_1cf6df719edc700f4ce1d33e137d2f22.jpg"
