SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","Crumpet Cashmere ","","","182%","£136,860","£75,000 ","87","10.00%","39"," 100%","Colchester, Essex","EIS,","21","3","2","Crumpet is a niche luxury fashion brand recognised in the fashion industry and now looking to grow its online retail platform and customer base. Offering distinctive, desirable cashmere knitwear, the brand is looking to become a leading player in the retail market capitalising on the growth of the affordable luxury market . Worn by celebrities such as Pippa Middleton , Elle McPhersonand Alexa Chung. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_888d5dd544f291ebcad78a00a223c795.jpg"
"2","The New Craftsmen ","","","74%","£111,140","£150,000 ","24","5.40%","23"," 74%","Mayfair, London","EIS,","27","41","6","The New Craftsmen offers a range of high quality hand-crafted products made in Britain.They intend to create a business and a brand in a sector which, whilst currently disorganised and lacking in high quality retail outlets, is worth in excess of £883m in England alone. They focus on the top end - placing craft into the luxury sector.They have now traded for just over twelve months - giving them invaluable experience. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_00e07e9d1b177104d39a61d51c3adf73.jpg"
"3","Pulmorphix ","","","21%","£21,200","£100,000 ","24","20.00%","59"," 21%","Liverpool, Merseyside","SEIS,","10","20","5","A spinout from Liverpool John Moores University. Pulmorphix have developed a 'lung biosimulator' - a device that replicates the conditions deep in the human lung. Pulmorphix intend to offer a commercial testing service to give drug developers a reliable way of understanding how their drugs will behave when inhaled. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_0f0c95745dbf738ef87de4fd2b3f4006.jpg"
"4","Best of All Worlds ","","","46%","£93,070","£200,000 ","24","7.40%","21"," 46%","Stockholm, Sweden","-,","7","1","0","BOAW aims to be the ultimate discovery and matching platform for people, products and services online. Created with the aim of enabling its members to navigate and leverage the relevant collective intelligence of the ‘trusted’ few. By segmenting and matching niche interests and backgrounds, it provides an intimate and private web environment with the aim of targeting top global influencers and connectors who share common backgrounds, interests and passions. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_0d3f793c0b1dcec934782e38e73a9564.jpg"
"5","Zero Carbon Food ","","","107%","£323,750","£300,000 ","287","15.00%","14"," 100%","Wandsworth, London","EIS,","122","96","17","Backed by celebrity chef Michel Roux Jr and Florette’s Managing Director, Zero Carbon Food utilizes redundant underground spaces in London, producing leafy greens, herbs and micro greens using LED lights and hydroponics, producing fresh ingredients with a minimal carbon footprint. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fabe25f815ed604b3086479afb026d93.jpg"
"6","Clear Water Revival ","","","70%","£112,840","£160,000 ","62","12.50%","9"," 70%","Bristol, City of Bristol","EIS,","75","34","8","Clear Water Revival have been successfully designing and constructing chlorine free, natural swimming pools since 2006. They have developed a biological filtration technology that uses nature's processes, not chemicals to clean and sanitise swimming pool water. Their product aims to become the filtration system of choice in the swimming pool market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_046c106479765544096da8f48822cf7f.jpg"
"7","Innovative Vehicle Systems Limited ","","","7%","£7,600","£100,000 ","15","8.00%","31"," 10%","Wareham, Dorset","EIS,SEIS","0","8","0","The IVSL team is passionate about reducing the death toll on our roads.They have built an advanced technical demonstrator of a vehicle collision warning system that works in real time. They have generated keen interest in their system from all over Europe . This has given them an overwhelming sense of belief that they are on the right track to achieve their goal of supplying low cost systems, to a very substantial global market.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_d62e7dfee8a121857fba1c61a1a9517d.jpg"
"8","Rib Club Global ","","","68%","£102,000","£150,000 ","12","27.27%","52"," 68%","Chalkhouse Green, Reading, Oxfordshire","EIS,","8","0","0","Rib Club Global is a new concept offering boating experiences for everyone. Rib Club Global offer its members all the advantages of boating but takes out most of the cost and responsibility associated with owning and chartering boats. On a one-off yearly payment, members are awarded points which can be exchanged for days out in the rigid inflatable boats (RIBS). Rib Club Global intends to have various locations throughout the world. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_c961eb956cbdd021cdec8c899cb70f21.jpg"
"9","Convergent Home Technologies ","","","1%","£3,210","£200,000 ","7","10.00%","52"," 6%","Chelmsford, Essex","EIS,","19","3","2","Convergent Home Technologies has created Dianemo- a solution that enables the home owner take control of everything in the home including lighting, heating, security and home entertainment in one system. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_de1e24d4452c306afd9c048f88ab171e.jpg"
"10","One City ","","","126%","£88,540","£70,000 ","155","5.00%","15"," 100%","Henley-On-Thames, Oxfordshire","SEIS,","13","127","12","One City is an online and offline gateway to an estimated £12bn+ global flexible workspace industry. 48% of us work remotely for at least half the week. One City aims to provide a global network of inspiring workplaces, allowing work anytime, anyplace, anywhere – online and offline.And you only pay for what you use. Property owners can participate in a global franchise with a digital platform and employers can reduce their property overheads through mobile working. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_5323216c7c5b52f2d0e97ede0507bfee.jpg"
