SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","Cahootify ","","","1%","£1,500","£105,000 ","","","59"," 6%","Bath, Somerset","EIS,SEIS","0","0","0","Cahootify is the social recruitment platform for freelancers, project leaders and employers in the fast-evolving world of work. Their mission is to become a leading online talent acquisition and management platform - and the leading platform worldwide for sourcing or joining dynamic, flexible project teams, no matter how “commercial” or “social” those projects are. Cahootify - love work more! Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_a4d24b8d4a68a03a6209208b6f734724.jpg"
"2","Givey ","","","10%","£52,500","£500,000 ","","","2"," 10%","Newcastle","EIS,","18","55","27","Givey is an instant donation matching platform. They aim to make it fun and easy for people to find and support causes they care about and easy for businesses to back their customers and employees. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_708b0ea6f900fb59b4408000e1d67fb7.jpg"
"3","LocalPropertyIndex ","","","73%","£219,590","£300,000 ","","","52"," 73%","Chandler's Ford, Eastleigh, Hampshire","EIS,","0","1","2","LocalPropertyIndex.com is a venture capital backed property advertising web site targeting estate agents who need to advertise properties. Unlike their competitors, who charge a fixed monthly advertising fee, LPI's clients can advertise free of charge and only pay if they receive enquires from potential buyers/renters. The team has 8 years experience operating property portals and the CEO listed his previous business on the London Stock Exchange Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_62ebcc49f4c5a146e555d997a07151ef.jpg"
"4","AccountsDirect 24-7 ","","","1%","£110","£150,000 ","","","57"," 6%","City of Westminster, London","-,","16","0","0","Using cloud computing AD 24-7 has developed accountancy and document management software, taking advantage of cost efficiencies by using a Datacentre based in India, thus aiming to produce SME accounts at a fraction of fees that UK high street accountants charge. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_69f50bafaccdda971ae1732c24e3945e.jpg"
"5","Stacking Systems ","","","105%","£84,140","£80,000 ","","","12"," 100%","Wolverhampton","SEIS,","3","2","6","Pallet Eater hopes to fulfil a universal need for an easier, more efficient and more mobile means of collating and stacking empty pallets. It stacks up to five times faster than a forklift. Pallet Eater also stacks squarely and is completely mobile. In addition, it can strap each column, all packed up and ready for re-use. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_caef7493304aff04d4883ad3d347d191.jpg"
"6","Orsto ","","","42%","£25,580","£60,000 ","","","58"," 42%","Durham, County Durham","EIS,SEIS","0","1","0","Orsto Ltd is a UK design engineering business established by design engineer Paul Gill. Orsto Smartwatch R&D has been a 3 1/2 project. Latest Smartwatch market predictions are $9 Billion by 2018. The large mobile manufacturers are producing 'accessory' SmartWatches, however, Orsto have specialised in developing smart, desirable luxury 'stand-alone' Smartwatches. A fully functioning high end Smartphone on your wrist. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_c9b4ba9139c3d7503c8960424e8d255d.jpg"
"7","Chupamobile ","","","67%","£271,990","£400,000 ","","","42"," 67%","City of Westminster, London","EIS,","45","15","21","Chupamobile allows people to buy professional Apps and Games, such as the hit app ‘Flappy Bird’, built by Mobile App Developers, ready to be customised and distributed on the App Store. They have already taken over £200,000 through licensing in the first 3 months of 2014 – over 100% of the total 2013 revenue. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_5b2811dda00fef061dbc0bec1f3d28e6.jpg"
"8","UP Investments - The Crowdfunding Hub ","","","85%","£85,740","£100,000 ","","","31"," 85%","Bristol, City of Bristol","EIS,SEIS","7","53","2","UP is looking to unify the crowdfunding market by creating a centralised hub, designed for investors. In a potentially fragmented marketplace, UP plans to simplify crowdfunding by hosting investment opportunities, from across the market, on one site. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_082785d21f72c773e6e41535ea2878ed.jpg"
"9","Just Right Products UK & Europe ","","","1%","£2,320","£400,000 ","","","40"," 6%","Frome, Somerset","EIS,","562","587","15","Just Right Products UK & Europe Limited have the Exclusive rights to Import, distribute, sell and market the Super Rope Cinch. This is a fully patented product with patents passed in the USA, and patents pending worldwide. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_c4c4934d90d5d59ba6143bc07d6c2652.jpg"
"10","TAXMAP ","","","6%","£3,100","£50,000 ","","","4"," 10%","City of Westminster, London","SEIS,","26","573","49","The Taxmap mission is to organise the world's tax information and to make it universally accessible and useful. Their goal is to save time and money and to create simplicity, neutrality, transparency, and stability in presenting tax information. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_17a847565ce8d416e471da8c1aaa7df4.jpg"
