SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","LawBit T/A LawBite ","","","11%","£14,370","£120,000 ","17","6.48%","57"," 11%","Wandsworth, London","EIS,","4","13","0","LawBite is an online legal service which provides simple law for small companies.LawBite has made great progress since we raised money on Crowdcube back in May. Here are some of the milestones we have achieved:1. Our website imagery has shifted significantly to one of SME&rsquo s &ldquo going about their daily business&rdquo , this has been undertaken to show small companies that this service is specifically... Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8a2c8ca88328138ab156a236a0802daf.jpg"
"2","Earwig Academic Reporting ","","","93%","£131,500","£140,000 ","44","14.00%","12"," 93%","Ripley, Surrey","SEIS,","4","3","2","Schools now routinely use photos and videos to provide evidence of pupil achievement for Ofsted. Earwig enables them to organise these into a vivid timeline for every pupil, class, and subject.Every parent gets a weekly insight into their children’s school life. Every pupil gets a permanent record of their school life. Earwig make money by licencing the software and by selling photos and videos to parents. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_291146c4023739b40e15c60d7f437d84.jpg"
"3","Red Advertising ","","","50%","£200,410","£400,000 ","5","15.00%","29"," 50%","Cannock, Staffordshire","EIS,","0","0","0","Recruitive (Red Advertising Ltd) is an award winning Enterprise SaaS HR Solutions provider providing a suite of 5 HR tools for recruiters and SME HR departments. This placement is supported by Johnson Capital Associates. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cdd6ed4320db72a2598c9a4f96b2c077.jpg"
"4","Dine In ","","","93%","£279,900","£300,000 ","85","23.08%","7"," 93%","Islington, London","EIS,","0","1","0","Dine In brings the fine dining experience closer to home by using their own fleet of food delivery drivers to deliver great quality food on behalf of London’s best restaurants and chefs. Their 'Delivery Tracker Platform' fully integrates all the stages of the food ordering process and keeps the customers alerted along the way. For companies they offer cost savings tools for them to process the expenses related to food. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_429de556dd14a87bea1c1953699dfb57.jpg"
"5","East End Manufacturing ","","","149%","£161,160","£108,000 ","157","10.71%","34"," 100%","Tower Hamlets, London","EIS,","0","1","4","East End Manufacturing champions ‘Made in Britain’ by producing clothing in London. Existing clients sell in Debenhams and House of Fraser. Launched by Mayor of London, Boris Johnson, the company expanded through Crowdcube in August. After talks this month, we are hoping to sell our own brand products to worldwide online fashion store ASOS.com which sells in 237 countries and will soon launch in China. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_99756e19be4e4c6d5ed7bac9b322cec4.jpg"
"6","Tidy Books ","","","153%","£115,090","£75,000 ","112","8.06%","8"," 100%","Waltham Forest, London","EIS,","84","306","38","Tidy Books makes award winning, innovative and eco-friendly storage and bookcases that get kids reading! They are a favourite with parents and are sold via John Lewis and other major retailers. Our designs and business model are scalable for international growth, making inroads into the US, Australia and Europe with a number of retailers already established. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cca91eef875111fc95c8104bf5054151.jpg"
"7","Rezoomo ","","","2%","£2,750","£100,000 ","15","12.50%","32"," 6%","Camden, London","EIS,SEIS","11","60","18","Rezoomo is created with the aim of allowing job seekers with no computer coding experience to build multiple interactive online CV websites and add features such as video, audio, documents, images, portfolios, social media and more. The future aims of Rezoomo are to develop into a worldwide recruitment and HR platform utilising a database of interactive online CVs and, thus, making it easier for employers to connect with potential candidates. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6db712c30ce1cfb66c83df22b2cef485.jpg"
"8","Beach Road Design ","","","1%","£110","£35,000 ","2","7.50%","57"," 6%","Portishead, North Somerset","EIS,","0","0","0","We believe that we have created a contemporary and intricately designed kitchen dish drainer that aspires to visually enhance a kitchen space. The aim of Asinka’s design is to enable the drip tray to send drained water back in to a sink unit which allows the item to stand directly on work surfaces in the absence of a draining board. This should allow plates, cutlery, glassware or delicate items to be stacked alongside pans or larger cookware. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_d477bfc658090b8c8d90d4093c455378.jpg"
"9","STS Yacht Services ","","","1%","£110","£25,000 ","2","7.15%","57"," 6%","Plymouth, Devon","EIS,SEIS","0","1","0","STS Yacht Services Ltd provides bespoke supply of high end 'below deck' items, such as flatware, stemware, dinnerware, bedding, crew uniforms etc. for superyachts, via the internet. They offer an online catalogue where the user browses and selects items that they are interested in purchasing. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ff1044b681d60873ad8b5f5fdf93df51.jpg"
"10","Projects Host ","","","1%","£1,360","£100,000 ","4","11.00%","52"," 6%","Oldbury, West Midlands","EIS,","3","15","0","Projects Host is an internet solutions provider and has developed a Cloud-based biometric authentication for online transactions and payments on Smartphones and tablets. The launch of this technology aims to capitalise on the adoption of the Biometric Solution for financial transactions, with the mission of increasing the safety and security of online banking and payment against fraud. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_67cfbe7f12cc5fa0db0de89c0db83564.jpg"
