SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","Clear Water Revival ","","","17%","£28,500","£160,000 ","39","10.00%","25"," 17%","Bristol, City of Bristol","EIS,","1","6","1","Clear Water Revival have been successfully designing and constructing chlorine free, natural swimming pools since 2006. They have developed a biological filtration technology that uses nature's processes, not chemicals to clean and sanitise swimming pool water. Their product aims to become the filtration system of choice in the swimming pool market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_046c106479765544096da8f48822cf7f.jpg"
"2","Red Advertising ","","","115%","£462,000","£400,000 ","88","15.00%","1"," 100%","Cannock, Staffordshire","EIS,","0","0","0","Recruitive (Red Advertising Ltd) is an award winning Enterprise SaaS HR Solutions provider providing a suite of 5 HR tools for recruiters and SME HR departments. This placement is supported by Johnson Capital Advisory. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cdd6ed4320db72a2598c9a4f96b2c077.jpg"
"4","Givey ","","","1%","£3,370","£500,000 ","24","18.50%","51"," 6%","Newcastle","EIS,","2","33","0","Givey is an instant donation matching platform. They aim to make it fun and easy for people to find and support causes they care about and easy for businesses to back their customers and employees. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_708b0ea6f900fb59b4408000e1d67fb7.jpg"
"5","One City ","","","111%","£78,370","£70,000 ","130","5.00%","31"," 100%","Henley-On-Thames, Oxfordshire","-,","13","99","10","One City is an online and offline gateway to an estimated £12bn+ global flexible workspace industry. 48% of us work remotely for at least half the week. One City aims to provide a global network of inspiring workplaces, allowing work anytime, anyplace, anywhere – online and offline.And you only pay for what you use. Property owners can participate in a global franchise with a digital platform and employers can reduce their property overheads through mobile working. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_5323216c7c5b52f2d0e97ede0507bfee.jpg"
"6","Blanco Nino ","","","23%","£14,120","£60,000 ","14","6.00%","54"," 23%","Islington, London","EIS,SEIS","151","7","11","Blanco Niño, working directly with Irish farmers, aims to establish an authentic corn tortilla factory in Dublin Ireland. Producing unadulterated and sustainably produced corn tortillas, tortilla chips and masa haina for the European market.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_06e20d11cfb80dfe53b427640b704914.jpg"
"7","KoppiT ","","","6%","£1,660","£25,000 ","8","10.00%","21"," 10%","Charter Alley, Hampshire","SEIS,","18","8","0","KoppiT turns the current e-commerce model on its head. Usually e-commerce users have to find the sellers of the items they want, whereas KoppiT invites the sellers to find the buyers. Its goal is to use the Internet’s reach to enable the vast global community of collectors, hobbyists and enthusiasts, who all share a passion for their specific interest to interact, trade and socialise. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_e4f916a434c74ac63e6a3cb3a2bd0394.jpg"
"8","Ecco Recordings ","","","82%","£74,250","£90,000 ","74","12.50%","4"," 82%","Newton Abbot, Devon","EIS,","2","9","5","Ecco Recordings is an independent record label and artist management company. Their first signing 'These Reigning Days' has had success and critical acclaim, with recent keen interest and sponsorship from Heston Blumenthal, the successful signing of a European album deal and a track being used throughout the BBC coverage of the winter Olympics. The band is soon to release their debut album. Ecco Recordings is now ready to launch the band internationally and to develop their pipeline of emerging talent. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_52b073154598adc39d0c161a42058ebe.jpg"
"9","Zero Carbon Food ","","","57%","£173,720","£300,000 ","174","15.00%","30"," 57%","Wandsworth, London","EIS,","104","74","12","Backed by celebrity chef Michel Roux Jr and Florette’s Managing Director, Zero Carbon Food utilizes redundant underground spaces in London, producing leafy greens, herbs and micro greens using LED lights and hydroponics, producing fresh ingredients with a minimal carbon footprint. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fabe25f815ed604b3086479afb026d93.jpg"
"10","TouristHop ","","","23%","£15,170","£64,000 ","7","15.24%","23"," 23%","Gillingham, Medway","EIS,SEIS","12","0","0","TouristHop is a website which provides users with the ability to compare local tourist activity service providers. The platform will begin as an intuitive interactive map to allow simple comparisons. Initially launching in Tenerife. With funding TouristHop will expand globally. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8d5076a794b3c694d2272b1fc3fa4e06.jpg"
"11","HEWITT BANKS LTD ","","","1%","£20","£150,000 ","2","25.00%","59"," 6%","Wakefield, West Yorkshire","SEIS,","0","0","0","Hewitt Banks is a UK based recruitment consultancy specialising in placing professional candidates into Permanent, Contract, Temporary and Interim positions in a variety of sectors.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ac636f0460b3563dc65ad55bcc544f31.jpg"
