SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","Blanco Nino ","","","47%","£28,380","£60,000 ","","","31"," 47%","Islington, London","EIS,SEIS","235","13","15","Blanco Niño, working directly with Irish farmers, aims to establish an authentic corn tortilla factory in Dublin Ireland. Producing unadulterated and sustainably produced corn tortillas, tortilla chips and masa haina for the European market.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_06e20d11cfb80dfe53b427640b704914.jpg"
"2","Seeme ","","","72%","£14,490","£20,000 ","","","17"," 72%","Manchester","EIS,SEIS","1","2","1","Seeme is a website created to help facilitate the sharing and organisation of teaching resource and ideas to provide a high quality resource database, alongside a social network.The website provides a platform for teachers to submit and share resources and ideas and to interact with each other on multiple levels. It will give teachers an opportunity to showcase their work and they will be rewarded for submitting high quality resources. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_51471f2c553b915d544fe40800468bbd.jpg"
"3","Zero Carbon Food ","","","125%","£375,290","£300,000 ","","","7"," 100%","Wandsworth, London","EIS,","130","99","17","Backed by celebrity chef Michel Roux Jr and Florette’s Managing Director, Zero Carbon Food utilizes redundant underground spaces in London, producing leafy greens, herbs and micro greens using LED lights and hydroponics, producing fresh ingredients with a minimal carbon footprint. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fabe25f815ed604b3086479afb026d93.jpg"
"4","Crumpet Cashmere ","","","224%","£168,140","£75,000 ","","","32"," 100%","Colchester, Essex","EIS,","23","4","2","Crumpet is a niche luxury fashion brand recognised in the fashion industry and now looking to grow its online retail platform and customer base. Offering distinctive, desirable cashmere knitwear, the brand is looking to become a leading player in the retail market capitalising on the growth of the affordable luxury market . Worn by celebrities such as Pippa Middleton , Elle McPhersonand Alexa Chung. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_888d5dd544f291ebcad78a00a223c795.jpg"
"5","Information Works London ","","","12%","£25,200","£200,000 ","","","23"," 12%","Hartham Park, Corsham, Wiltshire","EIS,","0","0","0","Information Works are a one-stop Direct Marketing solution allowing clients to select individuals at over 27 million household addresses, creating personalised mailings and aim to send them to print and post within minutes. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_0854108b56e5ef1cf231a82aceb2eb67.jpg"
"6","EstatesDirect ","","","4%","£10,470","£250,000 ","","","59"," 8%","Worcester, Worcestershire","EIS,","2","1","0","EstatesDirect.com is an online estate agent with a difference. The company is headed-up by Steve Smith, founder of Poundland and Darren Richards, founder of DatingDirect.com. Established for over two years selling and letting over 450+ properties to date, they are now looking to expand Nationally. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6c638b3f9d2f38c53a224f13e6ae07a3.jpg"
"7","Innovative Vehicle Systems Limited ","","","18%","£18,010","£100,000 ","","","24"," 18%","Wareham, Dorset","EIS,SEIS","0","8","0","The IVSL team is passionate about reducing the death toll on our roads.They have built an advanced technical demonstrator of a vehicle collision warning system that works in real time. They have generated keen interest in their system from all over Europe . This has given them an overwhelming sense of belief that they are on the right track to achieve their goal of supplying low cost systems, to a very substantial global market.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_d62e7dfee8a121857fba1c61a1a9517d.jpg"
"8","UP Investments - The Crowdfunding Hub ","","","1%","£460","£100,000 ","","","57"," 6%","Bristol, City of Bristol","EIS,SEIS","0","5","0","UP is looking to unify the crowdfunding market by creating a centralised hub, designed for investors. In a potentially fragmented marketplace, UP plans to simplify crowdfunding by hosting investment opportunities, from across the market, on one site. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_082785d21f72c773e6e41535ea2878ed.jpg"
"9","Clear Water Revival ","","","84%","£135,540","£160,000 ","","","2"," 84%","Bristol, City of Bristol","EIS,","92","46","13","Clear Water Revival have been successfully designing and constructing chlorine free, natural swimming pools since 2006. They have developed a biological filtration technology that uses nature's processes, not chemicals to clean and sanitise swimming pool water. Their product aims to become the filtration system of choice in the swimming pool market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_046c106479765544096da8f48822cf7f.jpg"
"10","BodyFire ","","","44%","£88,570","£200,000 ","","","5"," 44%","Warfield, Bracknell, Bracknell Forest","EIS,SEIS","46","95","1","BodyFire is a Fitness and Nutrition business comprising a number of fitness, supplement and nutrition products,developed and created by England Rugby player James Haskell and his team. The BodyFire product range of all naturalproducts, includes the award winning Men’s pre-training supplement Hades. BodyFire also owns its own YouTube TV channel, Angry Squirrel coffee brand and is in the process of opening its first Gym. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_524351b42bdbda77468afc0548fe608f.jpg"
"11","Pulmorphix ","","","27%","£27,440","£100,000 ","","","52"," 27%","Liverpool, Merseyside","SEIS,","10","26","5","A spinout from Liverpool John Moores University. Pulmorphix have developed a 'lung biosimulator' - a device that replicates the conditions deep in the human lung. Pulmorphix intend to offer a commercial testing service to give drug developers a reliable way of understanding how their drugs will behave when inhaled. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_0f0c95745dbf738ef87de4fd2b3f4006.jpg"
"12","Stacking Systems ","","","54%","£43,820","£80,000 ","","","24"," 54%","Wolverhampton","SEIS,","2","2","0","Pallet Eater hopes to fulfil a universal need for an easier, more efficient and more mobile means of collating and stacking empty pallets. It stacks up to five times faster than a forklift. Pallet Eater also stacks squarely and is completely mobile. In addition, it can strap each column, all packed up and ready for re-use. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_caef7493304aff04d4883ad3d347d191.jpg"
"13","One City ","","","142%","£99,410","£70,000 ","","","8"," 100%","Henley-On-Thames, Oxfordshire","SEIS,","13","135","12","One City is an online and offline gateway to an estimated £12bn+ global flexible workspace industry. 48% of us work remotely for at least half the week. One City aims to provide a global network of inspiring workplaces, allowing work anytime, anyplace, anywhere – online and offline.And you only pay for what you use. Property owners can participate in a global franchise with a digital platform and employers can reduce their property overheads through mobile working. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_5323216c7c5b52f2d0e97ede0507bfee.jpg"
"14","Rib Club Global ","","","71%","£107,250","£150,000 ","","","45"," 71%","Chalkhouse Green, Reading, Oxfordshire","EIS,","8","0","0","Rib Club Global is a new concept offering boating experiences for everyone. Rib Club Global offer its members all the advantages of boating but takes out most of the cost and responsibility associated with owning and chartering boats. On a one-off yearly payment, members are awarded points which can be exchanged for days out in the rigid inflatable boats (RIBS). Rib Club Global intends to have various locations throughout the world. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_c961eb956cbdd021cdec8c899cb70f21.jpg"
"15","TouristHop ","","","39%","£25,280","£64,000 ","","","1"," 39%","Gillingham, Medway","EIS,SEIS","13","0","0","TouristHop is a website which provides users with the ability to compare local tourist activity service providers. The platform will begin as an intuitive interactive map to allow simple comparisons. Initially launching in Tenerife. With funding TouristHop will expand globally. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8d5076a794b3c694d2272b1fc3fa4e06.jpg"
"16","The Cheesecake Emporium ","","","1%","£40","£50,000 ","","","58"," 6%","Lancashire","EIS,SEIS","0","1","0","We have created a fantastic looking chilled dessert that we think offers consumers new flavours and taste experience. We are seeking a £50k investment to be used for Working Capital and Online Marketing. We hope investors will not only see the potential but taste it. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_a3e9b5c23dd0d5b0204e2b132c0e2274.jpg"
"17","BUY2LET ","","","23%","£35,670","£150,000 ","","","10"," 23%","Lymington, Hampshire","SEIS,","0","16","0","We aim for BUY2LET.com to become what we believe will be the UK's first property web site dedicated solely to the listing for sale of residential investments. We plan for functionality to include features such as annual return or yields as additional search criterias to location,type,size and price. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8e696d42450783afb6d6f8c332f613ad.jpg"
"18","Bootstrap Responsive Themes ","","","4%","£2,710","£60,000 ","","","43"," 8%","Merton, London","EIS,SEIS","17","4","0","Bootstrap Responsive Themes is a soon to be launched online marketplace centred around the buying and selling of website themes that are based on the Bootstrap web development framework. We consider that mobile internet users expect a web-browsing experience on their phone that's comparable to what they get on their desktop or laptop. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6e356c142588460f1c44c5c4555c57f9.jpg"
"19","EMpak ","","","13%","£20,080","£150,000 ","","","51"," 13%","Tiverton, Devon","EIS,SEIS","1","10","0","EMpak have designed a one-shot medication delivery, which is suitable for pain relief, antihistamines, travel sickness, period pain, migraine and more. Designed to fit into a handbag, pocket, rucksack or glove compartment for use whilst out and about. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_b752385955b29885629d95b6f96d19e2.jpg"
"20","HireJungle Ltd ","","","1%","£260","£100,000 ","","","58"," 6%","Greenwich, London","EIS,SEIS","2","6","1","HireJungle is UK's fastest growing peer to peer rental marketplace. Users can save money by hiring instead of buying stuff, or they can make money by hiring out spare goods commission-free. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6942656401f723bfe83636cba4aff30f.jpg"
"21","Bikini Fling ","","","12%","£15,410","£120,000 ","","","58"," 12%","City of Westminster, London","SEIS,","0","0","0","Bikini Fling is a new British designer swimwear brand with ability to mix and match styles, sizes and colours to create a bespoke bikini. Bikini Fling is all about bold acts of confidence. They have had publicity in the likes of Vogue, Tatler, Red and Cosmopolitan. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7c2795c182f422ab6234e4e1cf586ac9.jpg"
"22","Givey ","","","5%","£29,700","£500,000 ","","","28"," 8%","Newcastle","EIS,","12","53","6","Givey is an instant donation matching platform. They aim to make it fun and easy for people to find and support causes they care about and easy for businesses to back their customers and employees. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_708b0ea6f900fb59b4408000e1d67fb7.jpg"
"23","Ascendia Corporation ","","","11%","£11,500","£100,000 ","","","50"," 11%","Maidstone, Kent","-,","2","0","0","Ascendia Vehicle hire is a vehicle hire company with a difference  their business model allows customers to hire desirable, top specification performance vehicles for the price customers would usually pay to hire a standard vehicle elsewhere . Ascendia’s aim is to be the preferred vehicle hire company in the UK and eventually worldwide catering for all types of occasions. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6eb2528ac2393619399c3cf4bf9c5eff.jpg"
"24","Bristol Spaceplanes ","","","2%","£4,250","£150,000 ","","","17"," 6%","Almondsbury, South Gloucestershire","EIS,","19","33","2","BRISTOL SPACEPLANES, aims to develop rocket-powered aeroplanes that can provide an 'airline' service to orbit with the vision of bringing low-cost access to space and space tourism from a long-term vision to a serious short-term prospect. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_179c8e939b6d347b924940d3c5c459cb.jpg"
"26","The New Craftsmen ","","","74%","£112,420","£150,000 ","","","16"," 74%","Mayfair, London","EIS,","27","50","14","The New Craftsmen offers a range of high quality hand-crafted products made in Britain.They intend to create a business and a brand in a sector which, whilst currently disorganised and lacking in high quality retail outlets, is worth in excess of £883m in England alone. They focus on the top end - placing craft into the luxury sector.They have now traded for just over twelve months - giving them invaluable experience. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_00e07e9d1b177104d39a61d51c3adf73.jpg"
