SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","Dine In ","","","91%","£274,070","£300,000 ","77","23.08%","13"," 91%","Islington, London","EIS,","0","1","0","Dine In brings the fine dining experience closer to home by using their own fleet of food delivery drivers to deliver great quality food on behalf of London’s best restaurants and chefs. Their 'Delivery Tracker Platform' fully integrates all the stages of the food ordering process and keeps the customers alerted along the way. For companies they offer cost savings tools for them to process the expenses related to food. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_429de556dd14a87bea1c1953699dfb57.jpg"
"2","East End Manufacturing ","","","129%","£139,780","£108,000 ","140","10.71%","40"," 100%","Tower Hamlets, London","EIS,","0","0","4","East End Manufacturing champions ‘Made in Britain’ by producing clothing in London. Existing clients sell in Debenhams and House of Fraser. Launched by Mayor of London, Boris Johnson, the company expanded through Crowdcube in August. After talks this month, we are hoping to sell our own brand products to worldwide online fashion store ASOS.com which sells in 237 countries and will soon launch in China. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_99756e19be4e4c6d5ed7bac9b322cec4.jpg"
"3","Tidy Books ","","","135%","£101,420","£75,000 ","96","8.06%","14"," 100%","Waltham Forest, London","EIS,","84","259","37","Tidy Books makes award winning, innovative and eco-friendly storage and bookcases that get kids reading! They are a favourite with parents and are sold via John Lewis and other major retailers. Our designs and business model are scalable for international growth, making inroads into the US, Australia and Europe with a number of retailers already established. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cca91eef875111fc95c8104bf5054151.jpg"
"4","eMoneyUnion.com ","","","21%","£63,840","£300,000 ","51","15.00%","31"," 21%","Wilmslow, Cheshire East","EIS,SEIS","1","8","17","eMoneyUnion is a peer-to-peer lending platform with the aim of providing a personal loan offering to consumers that maybe currently excluded from mainstream finance. eMoneyUnion also aim to provide finance for cars, home improvements and other purchases. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_91dcae9e5146bcc813adea83cf7371f7.jpg"
"5","DisarmCo ","","","77%","£92,450","£120,000 ","90","25.00%","8"," 77%","Southend-on-Sea","EIS,SEIS","1","5","0","DisarmCo’s product enables the disposal of landmines in a simple, cost effective and environmentally friendly way. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_1e62377a30fd7cecc227dd995db1ad0e.jpg"
"6","Earwig Academic Reporting ","","","39%","£54,740","£140,000 ","32","10.00%","18"," 39%","Ripley, Surrey","SEIS,","4","3","2","Schools now routinely use photos and videos to provide evidence of pupil achievement for Ofsted. Earwig enables them to organise these into a vivid timeline for every pupil, class, and subject.Every parent gets a weekly insight into their children’s school life. Every pupil gets a permanent record of their school life. Earwig make money by licencing the software and by selling photos and videos to parents. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_291146c4023739b40e15c60d7f437d84.jpg"
"7","Lets Rent ","","","1%","£1,870","£100,000 ","17","15.00%","39"," 6%","Manchester","EIS,SEIS","15","3","0","Lets Rent aims to improve the way landlords let their property. We think the traditional model of letting agents is out-dated – expensive and inefficient. Our modern approach at Lets Rent aims to benefit both the landlord and the tenant. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_13605b29abd27bc8aae2ca66ce95912f.jpg"
"8","WallJAM ","","","107%","£107,530","£100,000 ","65","10.00%","1"," 100%","Stevenage, Hertfordshire","EIS,","3","9","2","WallJAM is a shaped, interactive rebound wall and sports activity zone, designed to get people of all age groups and ability levels active, in a fun and intuitive way. WallJAM aims to significantly drive sports participation levels across the UK through repackaging the way sport is delivered at grass root level. The shape, material and graphics encourage repetition, with scope to deliver a ‘predictably unpredictable’ ball return. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_4577854f541bf912f90cc80450da5833.jpg"
"9","Rezoomo ","","","2%","£2,650","£100,000 ","14","12.50%","38"," 6%","Camden, London","EIS,SEIS","7","34","18","Rezoomo is created with the aim of allowing job seekers with no computer coding experience to build multiple interactive online CV websites and add features such as video, audio, documents, images, portfolios, social media and more. The future aims of Rezoomo are to develop into a worldwide recruitment and HR platform utilising a database of interactive online CVs and, thus, making it easier for employers to connect with potential candidates. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6db712c30ce1cfb66c83df22b2cef485.jpg"
"10","Velotec ","","","27%","£27,160","£100,000 ","23","25.00%","15"," 27%","Hayling Island, Hampshire","EIS,","0","0","1","Velotec have developed a scientifically designed bike warning system which allows cyclists to “make themselves seen by making themselves heard”. It can be easily retrofitted to all bicycles, using advanced Pyschoacoustic Technology to produce a sound that can be heard above heavy urban traffic allowing cyclists to warn other road users of their presence. Velosiren aspires to appeal to a market of 20+ million people, forecasted to grow 23% by 2016. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_936c6dcc1c7854c9831e7726d43310db.jpg"
