SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"11","Stickyboard ","","","14%","£7,010","£50,000 ","","","58"," 14%","Greenwich, London","EIS,","0","0","0","Stickyboard is the the 'UK's Village Noticeboard.' Covering over 1.6 million postcodes and hosting over 150,000 local listings. Stickyboard aim to become the technology platform of choice for engaging local people and working with organisations from local charities to housing associations and councils in a market with current spend available for services relevant to their sector purported to be worth £18.7 billion per year Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_219c91b06372bcacc04865861ebe78de.jpg"
"12","UP Investments - The Crowdfunding Hub ","","","83%","£83,740","£100,000 ","","","32"," 83%","Bristol, City of Bristol","EIS,SEIS","7","20","2","UP is looking to unify the crowdfunding market by creating a centralised hub, designed for investors. In a potentially fragmented marketplace, UP plans to simplify crowdfunding by hosting investment opportunities, from across the market, on one site. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_082785d21f72c773e6e41535ea2878ed.jpg"
"13","Peer Contract ","","","2%","£1,510","£60,000 ","","","58"," 6%","Sandridge, Hertfordshire","EIS,","8","1","0","Peer Contract aims to be the first online peer to peer funding platform connecting investors from the general public to subcontractors and suppliers in the construction industry, creating mutually beneficial business partnerships. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_2c7c7983b7f536d4bb9819785243c091.jpg"
"14","Blanco Nino ","","","183%","£110,150","£60,000 ","","","6"," 100%","Islington, London","EIS,SEIS","329","29","15","Blanco Niño, working directly with Irish farmers, aims to establish an authentic corn tortilla factory in Dublin Ireland. Producing unadulterated and sustainably produced corn tortillas, tortilla chips and masa haina for the European market.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_06e20d11cfb80dfe53b427640b704914.jpg"
"15","Thor Drinks ","","","46%","£39,200","£85,000 ","","","12"," 46%","Enfield, London","EIS,SEIS","46","63","7"," Thor Drinks is a new range offering legendary refreshment to adults in bars, pubs and restaurants. We believe thatsweet and sickly soft drinks are monopolising the bar back fridges, and that Thor Drinks are challenging the old guard by capturing what we enjoy most in our favourite alcohol brands - crisp, dry flavours delivered with drama and passion.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_80e0db01dab7fa260f86cde03b24a9c6.jpg"
"16","BuyMyWardrobe ","","","6%","£10,010","£150,000 ","","","58"," 10%","City of Westminster, London","EIS,","0","1","1","BuyMyWardrobe is a peer-to-peer social marketplace for pre-owned fashion. Launched in August 2012 and backed by high calibre investors including Carmen Busquets (the founding investor behind Net-A-Porter), the BuyMyWardrobe community now numbers more than 70,000 registered users and is growing fast. The origins of the business run deep within the London fashion community and is now an exciting online destination to buy and sell pre-owned fashion. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_2bc374b4996ae90cf1117310977936cd.jpg"
"17","Fubar Radio ","","","40%","£60,010","£150,000 ","","","40"," 40%","Islington, London","EIS,","0","3","0","Fubar Radio is the UK’s first uncensored live comedy radio network with presenters including Justin Lee Collins, Richard Herring and Sean Hughes, available exclusively via a subscription based app. The Fubar Radio Network aims to create a new world of talk radio, comedy and music programming. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cf8c2fbdeb1db8cd73ec6a6ec3faacf7.jpg"
"18","Sust-it ","","","7%","£11,010","£150,000 ","","","53"," 10%","Gloucestershire","EIS,","17","2","0","Sust-it is an energy efficiency comparison website for electrical appliances and products. It ranks products by their running costs and CO2 emissions based on average usage, and presents this information in financial terms to save customers money. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_a8b3141938b15ab67f22f8093af1c13f.jpg"
"19","Skyrocket Phytopharma (UK) ","","","6%","£18,260","£300,000 ","","","50"," 10%","Brighton and Hove, East Sussex","EIS,SEIS","0","0","0","Skyrocket Phytopharma is UK-based, ethical pharmaceutical company specialising in phyto-(plant-derived) medicines. Their first product is a skin cream for the treatment of muscle pains, joint inflammation and sports injuries. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_63154bae41de27e44ad9ba8ac2f48652.jpg"
"20","BerryWhite ","","","47%","£143,380","£300,000 ","","","37"," 47%","City of Westminster, London","EIS,","23","0","0","BerryWhite® manufactures, markets and sells non-carbonated organic fruit drinks. BerryWhite organic drinks, already sold in 27 countries, has just confirmed that they are now due to be sold in 50 Waitrose stores around the UK to complement their presence on Ocado. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_237727c639c978dc4f5e38611c8979ec.jpg"
"21","Bikini Fling ","","","54%","£65,020","£120,000 ","","","4"," 54%","City of Westminster, London","SEIS,","15","19","20","Bikini Fling is a new British designer swimwear brand with ability to mix and match styles, sizes and colours to create a bespoke bikini. Bikini Fling is all about bold acts of confidence. They have had publicity in the likes of Vogue, Tatler, Red and Cosmopolitan. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7c2795c182f422ab6234e4e1cf586ac9.jpg"
"22","JewelStreet ","","","34%","£34,620","£100,000 ","","","45"," 34%","Bideford, Devon","EIS,","10","0","4","JewelStreet is the award winning online jewellery marketplace where designers and jewellery lovers meet. JewelStreet already boasts over 250 designers, an industry award and has secured a £138,000 grant. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_a50da2e2becf715f64c987a76f7e5e2f.jpg"
"23","EMpak ","","","17%","£25,660","£150,000 ","","","26"," 17%","Tiverton, Devon","EIS,SEIS","2","12","0","EMpak have designed a one-shot medication delivery, which is suitable for pain relief, antihistamines, travel sickness, period pain, migraine and more. Designed to fit into a handbag, pocket, rucksack or glove compartment for use whilst out and about. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_b752385955b29885629d95b6f96d19e2.jpg"
"24","HireJungle ","","","2%","£2,370","£100,000 ","","","33"," 6%","Greenwich, London","EIS,SEIS","0","0","0","HireJungle is UK's fastest growing peer to peer rental marketplace. Users can save money by hiring instead of buying stuff, or they can make money by hiring out spare goods commission-free. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6942656401f723bfe83636cba4aff30f.jpg"
"25","GolfPunk Media ","","","5%","£2,560","£50,000 ","","","47"," 8%","Haywards Heath, West Sussex","EIS,SEIS","20","5","3","GolfPunk is a multi-media golf magazine platform created by the multi award winning Editor of the Year and founder of Loaded Magazine, Tim Southwell, with Ryder Cup legend Sam Torrance as President. GolfPunk was created as an antidote to the traditional golf magazines in a publishing world shifting heavily towards digital. GolfPunk was recently shortlisted for Digital Product Of The Year at the Independent Publisher Awards. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_4a09c7c1acd5b21a41480c361e204d1c.jpg"
"26","Empiribox ","","","102%","£51,000","£50,000 ","","","32"," 100%","Barnet, London","EIS,SEIS","55","5","10","Empiribox is as an engaging way primary school children can learn science, as a form of hands-on learning and investigation! For teachers, it aims to be innovative and ground-breaking, integrating a novel approach to teaching support and learning, with access to the equipment needed to 'enthral' a classroom. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_9d5b4bd9827d98661a564e096d6ae41d.jpg"
"27","myBarrister ","","","12%","£19,050","£150,000 ","","","37"," 12%","London","EIS,SEIS","16","44","45","myBarrister exploits changes in the £23bn UK legal sector by enabling businesses and individuals to find and appoint a barrister to swiftly resolve their legal issues. With an intelligent website, a growing membership and a proven ability to attract clients, myBarrister has already earned over £100,000 income. They are now seeking funding to dramatically increase membership, boost marketing and accelerate towards an early exit. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_05b8cdb2957995a5222c6ab6121470b5.jpg"
"28","Bigfoot Education ","","","15%","£23,390","£150,000 ","","","39"," 15%","Islington, London","EIS,","8","7","0","Bigfoot Tutors is an online marketplace in the booming £6 billion private tuition market. Bigfoot aims to be the Amazon of online learning. Students can find tutors from around the world and have live lessons in a 1-2-1 online classroom. Students can profile tutors by skills, qualifications, experience, and user ratings/reviews. Customers can book a free 15 minute trial lesson. 85% of free trials convert to paid lessons on the website. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_962fad6c82f7cac5596327eec1e98b2c.jpg"
"29","nibnibs ","","","4%","£6,190","£150,000 ","","","53"," 8%","Ripon, North Yorkshire","EIS,SEIS","6","1","0","nibnibs is a stylish range of premium nibbles manufactured in their bakery in Ripon. Available throughout the UK in a wide range of Independent deli/farmshops and quality retail outlets such as Whole Foods Market and also in Hampers including Virginia Hayward and John Lewis. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_c349e11d7ed9fa5b8f5cf84fead0a585.jpg"
"30","Order a Taxi ","","","14%","£7,250","£50,000 ","","","6"," 14%","Nottingham","EIS,SEIS","2","1","0","Order a Taxi is a mobile app service provider for taxi firms. We provide taxi firms with a full a mobile app presence for FREE and generate them an additional income stream as well as generating ourselves a commission. Our system uses the latest technologies to deliver GPS tracking, payment systems, and visually impressive full service mobile apps. An innovative, exciting, scalable business model with pre sign ups in a market worth over £4.3bn year. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_473ab0ddbd4906c6c94fcea7070c6ccb.jpg"
"31","Paper Shooters ","","","8%","£6,410","£75,000 ","","","51"," 10%","Manchester","EIS,SEIS","4","0","0","PAPER SHOOTERS™ is a toy blaster construction kit which aims to revolutionise the toy blaster market. Our team includes an ex Nerf designer with the aim of revolutionising the toy blaster, targeting the huge global market that is ‘geeks and gamers.’ Following fantastic press coverage and social media presence, we are looking to explode into major retail stores in late 2014. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_19a883271b06bb34285343cacae5ce1b.jpg"
"32","BarMate ","","","1%","£1,970","£350,000 ","","","44"," 6%","Cockfosters, Barnet, Greater London","EIS,","14","1","0","The Barmate system allows guests relaxing by the pool and/or beach to request waiter service at the press of a button. Proprietary location technology locates the guest and alerts a waiter via a handheld tablet. BarMate are in advanced discussions to develop strategic partnerships with Hyatt, Melia and Starwood and are installed in 8 major 5* hotels in the Canaries and Florida. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_61c57647a805520af19df62a2e56eb39.jpg"
"33","Givey ","","","10%","£52,420","£500,000 ","","","3"," 10%","Newcastle","EIS,","17","55","27","Givey is an instant donation matching platform. They aim to make it fun and easy for people to find and support causes they care about and easy for businesses to back their customers and employees. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_708b0ea6f900fb59b4408000e1d67fb7.jpg"
"34","Convergent Home Technologies ","","","1%","£3,530","£200,000 ","","","20"," 6%","Chelmsford, Essex","EIS,","22","3","2","Convergent Home Technologies has created Dianemo- a solution that enables the home owner take control of everything in the home including lighting, heating, security and home entertainment in one system. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_de1e24d4452c306afd9c048f88ab171e.jpg"
"35","The Cheesecake Emporium ","","","1%","£380","£50,000 ","","","33"," 6%","Lancashire","EIS,SEIS","1","2","11","The Cheesecake Emporium have created 'a fantastic looking chilled dessert' that they think offers consumers new flavours and taste experience. The Cheesecake Emporium are seeking a £50k investment to be used for Working Capital and Online Marketing. We hope investors will not only see the potential but taste it. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_a3e9b5c23dd0d5b0204e2b132c0e2274.jpg"
"36","Rib Club Global ","","","102%","£153,490","£150,000 ","","","20"," 100%","Chalkhouse Green, Reading, Oxfordshire","EIS,","9","0","0","Rib Club Global is a new concept offering boating experiences for everyone. Rib Club Global offer its members all the advantages of boating but takes out most of the cost and responsibility associated with owning and chartering boats. On a one-off yearly payment, members are awarded points which can be exchanged for days out in the rigid inflatable boats (RIBS). Rib Club Global intends to have various locations throughout the world. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_c961eb956cbdd021cdec8c899cb70f21.jpg"
"37","Ascendia Corporation ","","","13%","£13,960","£100,000 ","","","25"," 13%","Maidstone, Kent","-,","33","12","0","Ascendia Vehicle hire is a vehicle hire company with a difference  their business model allows customers to hire desirable, top specification performance vehicles for the price customers would usually pay to hire a standard vehicle elsewhere . Ascendia’s aim is to be the preferred vehicle hire company in the UK and eventually worldwide catering for all types of occasions. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6eb2528ac2393619399c3cf4bf9c5eff.jpg"
"38","Giorry ","","","10%","£10,630","£100,000 ","","","39"," 10%","Wooburn Green, Buckinghamshire","EIS,","29","19","27","Yippydada is a brand that designs and sells 'stylish and cool' baby bags. Over 10 million babies are born every year in the US, Europe and Australia alone providing a vast target market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ba1e0716b5617605fa53cfa9c64b90ee.jpg"
"39","MiThought ","","","40%","£36,140","£90,000 ","","","44"," 40%","Hounslow, London","EIS,SEIS","33","3","22","An early stage on-line global incubator where members post, share, develop ideas, collaborate, find partners and funding. MiThought aims to do for innovation and commercial connections what LinkedIn has done for recruitment and professional connections. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fe2e9509ae98391c57a5a6c812d4beeb.jpg"
"40","SpottinStyle ","","","29%","£29,430","£100,000 ","","","40"," 29%","Islington, London","SEIS,","64","7","0","SpottinStyle aims to give the power back to the people to decide what is stylish to wear by simply spotting styles as they see them. SpottinStyle has ambition to create new style trends daily and at the same time create numerous opportunities to shop. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8beb904b4da2ce12187f765f168bd46e.jpg"
"41","Webinact ","","","8%","£12,870","£150,000 ","","","40"," 10%","Southwark, London","SEIS,","0","2","0","Webinact’s mission is to bring live, broadcast-quality TV production to clients globally, at a fraction of conventional costs. The company operates “Studiobots”, compact facilities which can be installed anywhere but controlled centrally in London. Clients can use the service for conventional programs, investor communications, sales, training – for really impactful webinars. See Webinact in action 10am-midday daily: www.tiptv.co.uk Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_158f79e963a409a9b0e46e6a10bfcc5c.jpg"
"42","TAXMAP ","","","6%","£3,090","£50,000 ","","","5"," 10%","City of Westminster, London","SEIS,","26","573","49","The Taxmap mission is to organise the world's tax information and to make it universally accessible and useful. Their goal is to save time and money and to create simplicity, neutrality, transparency, and stability in presenting tax information. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_17a847565ce8d416e471da8c1aaa7df4.jpg"
"43","Dassie ","","","1%","£400","£100,000 ","","","41"," 6%","Tunbridge Wells, Kent","EIS,SEIS","0","0","0","Dassie is an artisan product range of home-ware and gifts handcrafted in the developing world. Dassie enters the market to fill the perceived void of eco-friendly home decor and gifts that are relevant within contemporary home-ware trends and project an ethical and sustainable ethos. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8ffb2605f56169f11d119a8713f81b73.jpg"
"44","Best of All Worlds ","","","49%","£99,570","£200,000 ","","","19"," 49%","Stockholm, Sweden","-,","8","1","2","BOAW aims to be the ultimate discovery and matching platform for people, products and services online. Created with the aim of enabling its members to navigate and leverage the relevant collective intelligence of the ‘trusted’ few. By segmenting and matching niche interests and backgrounds, it provides an intimate and private web environment with the aim of targeting top global influencers and connectors who share common backgrounds, interests and passions. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_0d3f793c0b1dcec934782e38e73a9564.jpg"
"45","Just Right Products UK & Europe ","","","1%","£2,310","£400,000 ","","","41"," 6%","Frome, Somerset","EIS,","562","587","15","Just Right Products UK & Europe Limited have the Exclusive rights to Import, distribute, sell and market the Super Rope Cinch. This is a fully patented product with patents passed in the USA, and patents pending worldwide. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_c4c4934d90d5d59ba6143bc07d6c2652.jpg"
"46","Bootstrap Responsive Themes ","","","4%","£2,710","£60,000 ","","","18"," 8%","Merton, London","EIS,SEIS","19","4","0","Bootstrap Responsive Themes is a soon to be launched online marketplace centred around the buying and selling of website themes that are based on the Bootstrap web development framework. We consider that mobile internet users expect a web-browsing experience on their phone that's comparable to what they get on their desktop or laptop. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6e356c142588460f1c44c5c4555c57f9.jpg"
"47","Hewitt Banks ","","","2%","£3,020","£150,000 ","","","11"," 6%","Wakefield, West Yorkshire","SEIS,","0","0","3","Hewitt Banks is a UK based recruitment consultancy specialising in placing professional candidates into Permanent, Contract, Temporary and Interim positions in a variety of sectors.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ac636f0460b3563dc65ad55bcc544f31.jpg"
"48","AccountsDirect 24-7 ","","","0%","£0","£150,000 ","","","58"," 0%","City of Westminster, London","-,","9","0","0","Using cloud computing AD 24-7 has developed accountancy and document management software, taking advantage of cost efficiencies by using a Datacentre based in India, thus aiming to produce SME accounts at a fraction of fees that UK high street accountants charge. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_69f50bafaccdda971ae1732c24e3945e.jpg"
