SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","Enistic ","","","79%","£98,980","£125,000 ","","","41"," 79%","Oxford, Oxfordshire","EIS,","3","7","55","Rising energy costs and government efficiency compliance requirements have increased demand for Enistic’s innovative energy saving technology. Established in 2009, Enistic has designed and installed energy saving systems in companies throughout the world. Pret a Manger, Airtricity, Honda, Fujitsu & Cambridge University to name a few have benefitted from energy cost reduction, improved environmental credentials and regulatory compliance. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_78f1fe755c3e938162d9ce78275c0467.jpg"
"2","Solar 350 ","","","14%","£17,680","£125,000 ","","","16"," 14%","City of Westminster, London","EIS,SEIS","5","67","1","Solar 350 is a developer of large scale solar parks in locations that are deemed most suitable to the technology to generate the best possible financial returns. This is based on high levels of solar irradiation, electricity prices and levels of subsidy along with low land, labour and development costs. Solar 350 aims to provide the most Commercial Solutions to Climate Change. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_674a6e58fba65fc28d3af3554b4d5cee.jpg"
"3","Chupamobile ","","","67%","£270,610","£400,000 ","","","43"," 67%","City of Westminster, London","EIS,","45","15","21","Chupamobile allows people to buy professional Apps and Games, such as the hit app ‘Flappy Bird’, built by Mobile App Developers, ready to be customised and distributed on the App Store. They have already taken over £200,000 through licensing in the first 3 months of 2014 – over 100% of the total 2013 revenue. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_5b2811dda00fef061dbc0bec1f3d28e6.jpg"
"4","Stacking Systems ","","","100%","£80,540","£80,000 ","","","13"," 100%","Wolverhampton","SEIS,","3","2","6","Pallet Eater hopes to fulfil a universal need for an easier, more efficient and more mobile means of collating and stacking empty pallets. It stacks up to five times faster than a forklift. Pallet Eater also stacks squarely and is completely mobile. In addition, it can strap each column, all packed up and ready for re-use. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_caef7493304aff04d4883ad3d347d191.jpg"
"5","Clear Water Revival ","","","115%","£184,920","£160,000 ","","","1"," 100%","Bristol, City of Bristol","EIS,","99","71","16","Clear Water Revival have been successfully designing and constructing chlorine free, natural swimming pools since 2006. They have developed a biological filtration technology that uses nature's processes, not chemicals to clean and sanitise swimming pool water. Their product aims to become the filtration system of choice in the swimming pool market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_046c106479765544096da8f48822cf7f.jpg"
"6","Plan Bee ","","","5%","£10,200","£175,000 ","","","51"," 8%","Wishaw, North Lanarkshire","EIS,","1","8","5","Plan Bee specialise in the establishment and management of beehives, providing our own brand of Corporate Social Sustainability to businesses. We are an award winning, EU commission recognised, micro international business that has already secured investment from Scottish Co Investment Bank. Our clients include Balfour Beatty and Highland Spring. Own a share of this honey-making, planet-saving, bee-boosting, profit with a purpose business. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ba3d09727681e25b6df73417e7a3e9de.jpg"
"7","Zero Carbon Food ","","","146%","£438,580","£300,000 ","","","14"," 100%","Wandsworth, London","EIS,","142","110","20","Backed by celebrity chef Michel Roux Jr and Florette’s Managing Director, Zero Carbon Food utilizes redundant underground spaces in London, producing leafy greens, herbs and micro greens using LED lights and hydroponics, producing fresh ingredients with a minimal carbon footprint. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fabe25f815ed604b3086479afb026d93.jpg"
"8","The Shavedoctor ","","","1%","£810","£150,000 ","","","58"," 6%","Stafford, Staffordshire","EIS,","0","0","0","The Shavedoctor are a British shaving and skincare company that create and develop men's shaving and skincare products that target every day shaving issues like shaving rash, razor burn and even ingrown hairs. The Shavedoctor is headed by Mark Sproston, a grooming expert for men's magazines and tabloid newspapers who has recently become the 'Shave and Skincare Expert' for Loaded magazine and Modern Spa. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_15a60810a4fb48d8981b1d75752c335f.jpg"
"9","LocalPropertyIndex ","","","73%","£219,580","£300,000 ","","","53"," 73%","Chandler's Ford, Eastleigh, Hampshire","EIS,","0","1","0","LocalPropertyIndex.com is a venture capital backed property advertising web site targeting estate agents who need to advertise properties. Unlike their competitors, who charge a fixed monthly advertising fee, LPI's clients can advertise free of charge and only pay if they receive enquires from potential buyers/renters. The team has 8 years experience operating property portals and the CEO listed his previous business on the London Stock Exchange Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_62ebcc49f4c5a146e555d997a07151ef.jpg"
"10","SimpleeHost ","","","18%","£27,450","£150,000 ","","","43"," 18%","Camden, London","SEIS,","110","13","86","SimpleeHost is an online marketplace connecting consumers with private chefs for in-home dining experiences. You can browse, book and pay for a chef online to come to your home, prepare a delicious meal and do all the washing up so you can focus on your guests. Their aim is to make in home chefs more accessible and make the process more efficient for chefs and consumers alike. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_234a0a4d4f22f5b6f8481795b3817c9b.jpg"
