SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","Lets Rent ","","","28%","£28,600","£100,000 ","26","22.50%","27"," 28%","Manchester","EIS,SEIS","22","3","0","Lets Rent aims to improve the way landlords let their property. We think the traditional model of letting agents is out-dated – expensive and inefficient. Our modern approach at Lets Rent aims to benefit both the landlord and the tenant. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_13605b29abd27bc8aae2ca66ce95912f.jpg"
"2","LawBit T/A LawBite ","","","39%","£47,410","£120,000 ","53","6.48%","51"," 39%","Wandsworth, London","EIS,","18","60","24","Lawbite aspires to democratise the law and offer affordable plain English documents. Access to expert legal advice for document editing, disputes, negotiation, mediation and arbitration. Partnership with direct access barristers  a new development of an initiative that is constantly evolving, conceptually and technologically. Recently endorsed at our Google Campus event by Minister for Skills and Enterprise Matthew Hancock. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8a2c8ca88328138ab156a236a0802daf.jpg"
"3","Dine In ","","","100%","£300,270","£300,000 ","90","23.08%","1"," 100%","Islington, London","EIS,","9","3","0","Dine In brings the fine dining experience closer to home by using their own fleet of food delivery drivers to deliver great quality food on behalf of London’s best restaurants and chefs. Their 'Delivery Tracker Platform' fully integrates all the stages of the food ordering process and keeps the customers alerted along the way. For companies they offer cost savings tools for them to process the expenses related to food. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_429de556dd14a87bea1c1953699dfb57.jpg"
"4","East End Manufacturing ","","","166%","£179,850","£108,000 ","172","10.71%","17"," 100%","Tower Hamlets, London","EIS,","0","1","4","East End Manufacturing champions ‘Made in Britain’ by producing clothing in London. Existing clients sell in Debenhams and House of Fraser. Launched by Mayor of London, Boris Johnson, the company expanded through Crowdcube in August. After talks this month, we are hoping to sell our own brand products to worldwide online fashion store ASOS.com which sells in 237 countries and will soon launch in China. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_99756e19be4e4c6d5ed7bac9b322cec4.jpg"
"5","Capricorn Beverages ","","","1%","£2,370","£175,000 ","26","15.00%","31"," 6%","Camden, London","EIS,","1","0","0","Capricorn Beverages is a beverage brand development, sales and marketing company with Bondi Australian Premium Beer as its key brand. The aim of this fundraising is to launch Bondi nationally in the UK & in selected EU markets in early 2014 having already undergone market research, trials and consumer awareness campaigns and a recent brand redesign. In June 2013 Bondi was selected in UK’s The Morning Advertiser’s Top 50 World Beers. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_de48f1c148d23098c154786771f97624.jpg"
"6","Ecco Recordings ","","","12%","£11,390","£90,000 ","22","10.00%","23"," 12%","Newton Abbot, Devon","EIS,","0","0","0","Ecco Recordings is an independent record label and artist management company. Their first signing 'These Reigning Days' has had success and critical acclaim. Having been invited to join the likes of Adele, Fleetwood Mac and Mumford and Sons on the prestigious International Talent Agency’s roster, the band is soon to release their debut album. Ecco Recordings is now ready to launch the band internationally and to develop their pipeline of new emerging musical talent. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_52b073154598adc39d0c161a42058ebe.jpg"
"7","DisarmCo ","","","88%","£106,570","£120,000 ","106","25.00%","10"," 88%","Southend-on-Sea","EIS,SEIS","1","6","0","DisarmCo’s product enables the disposal of landmines in a simple, cost effective and environmentally friendly way. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_1e62377a30fd7cecc227dd995db1ad0e.jpg"
"8","Atlantic Kitchen ","","","13%","£16,610","£120,000 ","44","24.00%","33"," 13%","Camden, London","SEIS,","30","11","0","Atlantic Kitchen makes nutritious, organic food using seaweed from Ireland. Our goal is to transform the UK food market by introducing seaweed in ready-to-serve formats that could appeal to a broad range of customers. Our long-term goal is to be the ‘go-to’ brand for edible seaweed in all its forms. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_dd1a070ca79990115177b36eed4cc293.jpg"
"9","4x4 Aviation ","","","2%","£1,360","£58,000 ","6","25.00%","55"," 6%","Kent","SEIS,","9","3","0","Aiming to make Vertical Take Off And Landing (VTOL) flight commercially viable.4X4 Aviation is a developer of aircraft and control software. The company aims to improve aviation by making Vertical Take Off And Landing aircraft a commercially viable technology. The company’s ultimate aim is to commercialize its patented technology in Versatile Vehicle Plane design powered by electric turbines and generators in various sizes and applications. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_e97ec6381a03d891906120ebe447fd9f.jpg"
"10","WallJAM ","","","118%","£118,840","£100,000 ","85","10.00%","10"," 100%","Stevenage, Hertfordshire","EIS,","3","10","3","WallJAM is a shaped, interactive rebound wall and sports activity zone, designed to get people of all age groups and ability levels active, in a fun and intuitive way. WallJAM aims to significantly drive sports participation levels across the UK through repackaging the way sport is delivered at grass root level. The shape, material and graphics encourage repetition, with scope to deliver a ‘predictably unpredictable’ ball return. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_4577854f541bf912f90cc80450da5833.jpg"
"11","Red Advertising ","","","77%","£309,360","£400,000 ","23","15.00%","23"," 77%","Cannock, Staffordshire","EIS,","0","0","0","Recruitive (Red Advertising Ltd) is an award winning Enterprise SaaS HR Solutions provider providing a suite of 5 HR tools for recruiters and SME HR departments. This placement is supported by Johnson Capital Associates. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cdd6ed4320db72a2598c9a4f96b2c077.jpg"
"12","AngelBerry ","","","10%","£16,490","£150,000 ","31","9.00%","53"," 10%","Bristol, South Gloucestershire","EIS,","0","0","0","Launched in December 2011, AngelBerry is an international frozen yogurt franchise with six stores operating and with contractual agreement to open 50 new stores in the coming years. The global frozen yogurt market is experiencing impressive growth according to Mintel with a market size increase of 74% between 2011 and 2013, in comparison to the ice cream market which saw an increase of only 3.9%. AngelBerry is now serving over 15,000 customers per week. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fba6595b2aab262c19c1cb724f7019cd.jpg"
"13","eMoneyUnion.com ","","","23%","£66,180","£300,000 ","61","15.00%","19"," 23%","Wilmslow, Cheshire East","EIS,SEIS","1","99","22","eMoneyUnion is a peer-to-peer lending platform with the aim of providing a personal loan offering to consumers that maybe currently excluded from mainstream finance. eMoneyUnion also aim to provide finance for cars, home improvements and other purchases. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_91dcae9e5146bcc813adea83cf7371f7.jpg"
