SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","WallJAM ","","","130%","£130,810","£100,000 ","102","10.00%","3"," 100%","Stevenage, Hertfordshire","EIS,","3","11","3","WallJAM is a shaped, interactive rebound wall and sports activity zone, designed to get people of all age groups and ability levels active, in a fun and intuitive way. WallJAM aims to significantly drive sports participation levels across the UK through repackaging the way sport is delivered at grass root level. The shape, material and graphics encourage repetition, with scope to deliver a ‘predictably unpredictable’ ball return. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_4577854f541bf912f90cc80450da5833.jpg"
"2","One City ","","","66%","£46,290","£70,000 ","49","5.00%","52"," 66%","Henley-On-Thames, Oxfordshire","-,","3","30","4","One City is an online and offline gateway to an estimated £12bn+ global flexible workspace industry. 48% of us work remotely for at least half the week. One City aims to provide a global network of inspiring workplaces, allowing work anytime, anyplace, anywhere – online and offline.And you only pay for what you use. Property owners can participate in a global franchise with a digital platform and employers can reduce their property overheads through mobile working. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_5323216c7c5b52f2d0e97ede0507bfee.jpg"
"3","Yeezey ","","","5%","£3,090","£60,000 ","8","7.90%","40"," 8%","Islington, London","EIS,SEIS","8","1","4","Yeezey is a city-based website and mobile application that connects local customers and retailers. It plans to become the platform of choice for retailers looking to organise sales events online and an opportunity for buyers in search of local discovery and discounts.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_14e5b9285e7748aff098512ef166f8b3.jpg"
"4","AngelBerry ","","","88%","£133,490","£150,000 ","82","9.00%","39"," 88%","Bristol, South Gloucestershire","EIS,","8","6","0","Launched in December 2011, AngelBerry is an international frozen yogurt franchise with six stores operating and with contractual agreement to open 50 new stores in the coming years. The global frozen yogurt market is experiencing impressive growth according to Mintel with a market size increase of 74% between 2011 and 2013, in comparison to the ice cream market which saw an increase of only 3.9%. AngelBerry is now serving over 15,000 customers per week. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fba6595b2aab262c19c1cb724f7019cd.jpg"
"5","East End Manufacturing ","","","220%","£238,350","£108,000 ","218","10.71%","3"," 100%","Tower Hamlets, London","EIS,","0","2","4","East End Manufacturing champions ‘Made in Britain’ by producing clothing in London. Existing clients sell in Debenhams and House of Fraser. Launched by Mayor of London, Boris Johnson, the company expanded through Crowdcube in August. After talks this month, we are hoping to sell our own brand products to worldwide online fashion store ASOS.com which sells in 237 countries and will soon launch in China. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_99756e19be4e4c6d5ed7bac9b322cec4.jpg"
"6","Lets Rent ","","","106%","£79,910","£75,000 ","72","22.50%","13"," 100%","Manchester","EIS,SEIS","72","4","0","Lets Rent aims to improve the way landlords let their property. We think the traditional model of letting agents is out-dated – expensive and inefficient. Our modern approach at Lets Rent aims to benefit both the landlord and the tenant. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_13605b29abd27bc8aae2ca66ce95912f.jpg"
"7","BodyFire ","","","27%","£55,670","£200,000 ","17","5.00%","51"," 27%","Warfield, Bracknell, Bracknell Forest","EIS,SEIS","25","57","1","BodyFire is a Fitness and Nutrition business comprising a number of fitness, supplement and nutrition products,developed and created by England Rugby player James Haskell and his team. The BodyFire product range of all naturalproducts, includes the award winning Men’s pre-training supplement Hades. BodyFire also owns its own YouTube TV channel, Angry Squirrel coffee brand and is in the process of opening its first Gym. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_524351b42bdbda77468afc0548fe608f.jpg"
"8","Independent Sports Capital ","","","1%","£610","£250,000 ","3","25.00%","55"," 6%","Trafford","EIS,","0","0","0","Independent Sports Capital's aim is to seek, acquire and develop top footballing talent from around the world. They intend to develop and showcase the players in the UK and transfer them to professional clubs within the top European leagues. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ae86d235700e5473210b841f41ca907e.jpg"
"9","Red Advertising ","","","85%","£343,650","£400,000 ","39","15.00%","9"," 85%","Cannock, Staffordshire","EIS,","0","0","0","Recruitive (Red Advertising Ltd) is an award winning Enterprise SaaS HR Solutions provider providing a suite of 5 HR tools for recruiters and SME HR departments. This placement is supported by Johnson Capital Advisory. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cdd6ed4320db72a2598c9a4f96b2c077.jpg"
"10","Ecco Recordings ","","","23%","£21,320","£90,000 ","27","12.50%","9"," 23%","Newton Abbot, Devon","EIS,","0","0","3","Ecco Recordings is an independent record label and artist management company. Their first signing 'These Reigning Days' has had success and critical acclaim. Having been invited to join the likes of Adele, Fleetwood Mac and Mumford and Sons on the prestigious International Talent Agency’s roster, the band is soon to release their debut album. Ecco Recordings is now ready to launch the band internationally and to develop their pipeline of new emerging musical talent. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_52b073154598adc39d0c161a42058ebe.jpg"
