SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"11","Music Practiced Perfectly ","","","2%","£4,210","£150,000 ","13","15.00%","48"," 6%","Burntwood, Staffordshire","EIS,","0","5","0","As an E-Commerce business, Guitar Practiced Perfectly plans to open up a new and exciting experience for those who are new to the guitar, or more experienced players who want to develop their playing further. With a new educational module, the business is to expand with multi languages and plans to penetrate the Chinese and Indian markets. Music Practiced Perfectly also plan to introduce other instruments opening up an even larger market across the world. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_33c20649e83494012948c48f322b4836.jpg"
"12","LawBit T/A LawBite ","","","65%","£79,160","£120,000 ","96","6.48%","37"," 65%","Wandsworth, London","EIS,","24","103","31","LawBite is an online legal service providing Simple Law for Small Companies. Offering affordable, plain English documents and a virtual law firm wrapped around its platform. Partnership with direct access barristers and increasing numbers of potential partners with large SME communities driving traffic to LawBite. Recently endorsed at our Google Campus event by Minister for Skills and Enterprise Matthew Hancock. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8a2c8ca88328138ab156a236a0802daf.jpg"
"13","Zero Carbon Food ","","","14%","£42,860","£300,000 ","76","10.00%","53"," 14%","Wandsworth, London","EIS,SEIS","84","47","9","Zero Carbon Food utilizes redundant underground spaces in London, producing leafy greens, herbs and micro greens using LED lights and hydroponics, producing fresh ingredients with a minimal carbon footprint. The business has a strong board including Celebrity chef Michel Roux Jr and Florette’s Managing Director. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_b8136aec96a82c2b133bb3034f687a67.jpg"
"14","Gift Wrapped & Gorgeous ","","","3%","£1,530","£50,000 ","11","10.00%","33"," 8%","Bodmin, Cornwall","EIS,","74","115","3","Gift Wrapped & Gorgeous brings together people looking for beautiful gifts, home ware and jewellery, and the work of the UK's designer makers and creative businesses.They carefully handpick small creative businesses to showcase and sell a selection of UK designed lifestyle products and gift ideas for any gift occasion. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_295cd590034ee7962194851fa9bf88f1.jpg"
"15","eMoneyUnion.com ","","","41%","£123,100","£300,000 ","72","15.00%","5"," 41%","Wilmslow, Cheshire East","EIS,SEIS","2","124","23","eMoneyUnion is a peer-to-peer lending platform with the aim of providing a personal loan offering to consumers that maybe currently excluded from mainstream finance. eMoneyUnion also aim to provide finance for cars, home improvements and other purchases. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_91dcae9e5146bcc813adea83cf7371f7.jpg"
"16","BUY2LET ","","","3%","£5,010","£150,000 ","2","25.00%","56"," 8%","Lymington, Hampshire","SEIS,","0","0","0","We aim for BUY2LET.com to become what we believe will be the UK's first property web site dedicated solely to the listing for sale of residential investments. We plan for functionality to include features such as annual return or yields as additional search criterias to location,type,size and price. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8e696d42450783afb6d6f8c332f613ad.jpg"
"17","Atlantic Kitchen ","","","40%","£49,150","£120,000 ","60","24.00%","11"," 40%","Camden, London","SEIS,","72","21","0","Atlantic Kitchen makes nutritious, organic food using seaweed from Ireland. Our goal is to transform the UK food market by introducing seaweed in ready-to-serve formats that could appeal to a broad range of customers. Our long-term goal is to be the ‘go-to’ brand for edible seaweed in all its forms. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_dd1a070ca79990115177b36eed4cc293.jpg"
"18","KoppiT ","","","10%","£2,530","£25,000 ","4","10.00%","44"," 10%","Charter Alley, Hampshire","SEIS,","18","6","0","KoppiT turns the current e-commerce model on its head. Usually e-commerce users have to find the sellers of the items they want, whereas KoppiT invites the sellers to find the buyers. Its goal is to use the Internet’s reach to enable the vast global community of collectors, hobbyists and enthusiasts, who all share a passion for their specific interest to interact, trade and socialise. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_e4f916a434c74ac63e6a3cb3a2bd0394.jpg"
"19","Artisan Burger Company ","","","15%","£36,560","£240,000 ","9","15.00%","48"," 15%","Kinfauns, Perth and Kinross","SEIS,","3","23","2","Artisan Burger Company plans to open a chain of restaurants, which offer handmade gourmet Beef Burgers, hand cured Salt Beef and slow cooked Pulled Pork burgers combined with craft beer and artisan cider. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_21f7d44641727bfd84484900372d3063.jpg"
"20","STS Yacht Services ","","","4%","£1,230","£25,000 ","8","7.15%","37"," 8%","Plymouth, Devon","EIS,SEIS","0","1","1","STS Yacht Services provides bespoke supply of high end 'below deck' items, such as flatware, stemware, dinnerware, bedding, crew uniforms etc. for superyachts. They offer an online catalogue where the user browses and selects items that they are interested in purchasing. STS then takes samples of these items to the boat in order to give the client the opportunity to experience and compare these items in their intended environment, prior to purchase. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ff1044b681d60873ad8b5f5fdf93df51.jpg"
"21","4x4 Aviation ","","","9%","£5,750","£58,000 ","20","25.00%","41"," 10%","Kent","SEIS,","46","4","0","Aiming to make Vertical Take Off And Landing (VTOL) flight commercially viable.4X4 Aviation is a developer of aircraft and control software. The company aims to improve aviation by making Vertical Take Off And Landing aircraft a commercially viable technology. The company’s ultimate aim is to commercialize its patented technology in Versatile Vehicle Plane design powered by electric turbines and generators in various sizes and applications. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_b60afd6d405f395101342b75a60d9061.jpg"
"22","TouristHop ","","","1%","£120","£64,000 ","4","9.00%","46"," 6%","Gillingham, Medway","EIS,SEIS","8","0","0","TouristHop is a website which provides users with the ability to compare local tourist activity service providers. The platform will begin as an intuitive interactive map to allow simple comparisons. Initially launching in Tenerife. With funding TouristHop will expand globally. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8d5076a794b3c694d2272b1fc3fa4e06.jpg"
"23","Zeevon ","","","20%","£20,160","£100,000 ","18","10.00%","45"," 20%","Lambeth, London","EIS,","0","0","0","Zeevon.com is a multi-channel (online-instore-mobile) cycling and triathlon store with the aim of offering premier brands at value for money prices. It is an online destination to buy sports clothing, accessories and bikes. It markets throughout the UK and parts of Europe. Our customers are the worldwide cycling and triathlon community. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_2dc98ac888b739eb4f8f9a9c77e482b0.jpg"
"24","Clear Water Revival ","","","3%","£6,030","£160,000 ","26","10.00%","48"," 8%","Bristol, City of Bristol","EIS,","1","0","0","Clear Water Revival have been successfully designing and constructing chlorine free, natural swimming pools since 2006. They have developed a biological filtration technology that uses nature's processes, not chemicals to clean and sanitise swimming pool water. Their product aims to become the filtration system of choice in the swimming pool market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_046c106479765544096da8f48822cf7f.jpg"
"25","Projects Host ","","","11%","£11,210","£100,000 ","12","11.00%","32"," 11%","Oldbury, West Midlands","EIS,","4","16","0","Projects Host is an internet solutions provider and has developed a Cloud-based biometric authentication for online transactions and payments on Smartphones and tablets. The launch of this technology aims to capitalise on the adoption of the Biometric Solution for financial transactions, with the mission of increasing the safety and security of online banking and payment against fraud. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7e224849c811fcdf4ddd00854c485937.jpg"
"26","Capricorn Beverages ","","","1%","£2,460","£175,000 ","30","15.00%","17"," 6%","Camden, London","EIS,","1","0","0","Capricorn Beverages is a beverage brand development, sales and marketing company with Bondi Australian Premium Beer as its key brand. The aim of this fundraising is to launch Bondi nationally in the UK & in selected EU markets in early 2014 having already undergone market research, trials and consumer awareness campaigns and a recent brand redesign. In June 2013 Bondi was selected in UK’s The Morning Advertiser’s Top 50 World Beers. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_de48f1c148d23098c154786771f97624.jpg"
"27","Smart Sofa ","","","1%","£450","£60,000 ","8","30.00%","41"," 6%","Isleworth, Greater London","SEIS,","1","0","0","Many of us have been there, trying to get a new sofa up the stairs, in the loft or down a basement  and how many times do we wish we could change our sofa from a three seated to a corner sofa or just add additional seats as our circumstances change?At Smart Sofa we have designed a flat packed modular sofa that we hope answers all of the above questions. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_25d1c703eeee3cd9386041a02a2a0b12.jpg"
"28","Beach Road Design ","","","1%","£370","£35,000 ","10","7.50%","45"," 6%","Portishead, North Somerset","EIS,","0","7","0","We believe that we have created a contemporary and intricately designed kitchen dish drainer that aspires to visually enhance a kitchen space. The aim of Asinka’s design is to enable the drip tray to send drained water back in to a sink unit which allows the item to stand directly on work surfaces in the absence of a draining board. This should allow plates, cutlery, glassware or delicate items to be stacked alongside pans or larger cookware. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_d477bfc658090b8c8d90d4093c455378.jpg"
"29","Rezoomo ","","","2%","£2,950","£100,000 ","16","12.50%","12"," 6%","Camden, London","EIS,SEIS","47","115","19","Rezoomo is created with the aim of allowing job seekers with no computer coding experience to build multiple interactive online CV websites and add features such as video, audio, documents, images, portfolios, social media and more. The future aims of Rezoomo are to develop into a worldwide recruitment and HR platform utilising a database of interactive online CVs and, thus, making it easier for employers to connect with potential candidates. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6db712c30ce1cfb66c83df22b2cef485.jpg"
"30","Bristol Spaceplanes ","","","0%","£0","£150,000 ","0","5.00%","60"," 0%","Almondsbury, South Gloucestershire","EIS,","0","0","0","We have worked up the most competitive designs and stragegies for developing the first orbital spaceplane, based on spaceplane design experience stretching back to the 1960s.  This will revolutionise spaceflight by... Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_179c8e939b6d347b924940d3c5c459cb.jpg"
"31","Emozioni Food ","","","0%","£0","£75,000 ","0","15.00%","59"," 0%","City of Westminster, London","EIS,SEIS","0","0","0","Emozioni is a luxury and innovative Italian specialty foods company and it is our aim to represent the epitome of Italian culture  style, passion and quality with a modern twist. The food brand is influenced by luxury modern art and fashion. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_1a3ac3db1803b1f81e0e13318f277da5.jpg"
