SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"13","Capricorn Beverages ","","","1%","£2,230","£175,000 ","22","15.00%","35"," 6%","Camden, London","EIS,","1","0","0","Capricorn Beverages is a beverage brand development, sales and marketing company with Bondi Australian Premium Beer as its key brand. The aim of this fundraising is to launch Bondi nationally in the UK & in selected EU markets in early 2014 having already undergone market research, trials and consumer awareness campaigns and a recent brand redesign. In June 2013 Bondi was selected in UK’s The Morning Advertiser’s Top 50 World Beers. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_de48f1c148d23098c154786771f97624.jpg"
"14","Rezoomo ","","","2%","£2,950","£100,000 ","16","12.50%","30"," 6%","Camden, London","EIS,SEIS","13","81","18","Rezoomo is created with the aim of allowing job seekers with no computer coding experience to build multiple interactive online CV websites and add features such as video, audio, documents, images, portfolios, social media and more. The future aims of Rezoomo are to develop into a worldwide recruitment and HR platform utilising a database of interactive online CVs and, thus, making it easier for employers to connect with potential candidates. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6db712c30ce1cfb66c83df22b2cef485.jpg"
"15","Projects Host ","","","1%","£1,610","£100,000 ","7","11.00%","50"," 6%","Oldbury, West Midlands","EIS,","4","15","0","Projects Host is an internet solutions provider and has developed a Cloud-based biometric authentication for online transactions and payments on Smartphones and tablets. The launch of this technology aims to capitalise on the adoption of the Biometric Solution for financial transactions, with the mission of increasing the safety and security of online banking and payment against fraud. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7e224849c811fcdf4ddd00854c485937.jpg"
"16","Acqua Telecom ","","","10%","£16,410","£150,000 ","8","15.00%","29"," 10%","Hammersmith and Fulham, London","EIS,SEIS","0","1","9","Acqua aspires to provide a fresh approach to current mobile operators, focusing on providing value-added services to users, with a focus on fashion, sports and lifestyle. Whilst the mobile telecommunications industry is competing for market share on pricing, distribution and technology strategies, Acqua aims to gain customer interest and market share by focusing on high-quality delivery of services above and beyond what is currently on the market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_b8d793bc06be4e6175a748d5c231581e.jpg"
"17","Creative Nature ","","","10%","£17,100","£160,000 ","17","20.00%","28"," 10%","East Molesey, Surrey","EIS,","36","49","12","Creative Nature is a young organisation that was established to promote health, creativity and respect, in an ethical manner, by increasing awareness of environmental, social and health issues, and by providing quality natural food products. Their products are stocked in a number of stores including Holland and Barrett. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_09ac7f009a78583bd2b1c752b9284dc8.jpg"
"18","WallJAM ","","","113%","£113,800","£100,000 ","82","10.00%","14"," 100%","Stevenage, Hertfordshire","EIS,","3","10","3","WallJAM is a shaped, interactive rebound wall and sports activity zone, designed to get people of all age groups and ability levels active, in a fun and intuitive way. WallJAM aims to significantly drive sports participation levels across the UK through repackaging the way sport is delivered at grass root level. The shape, material and graphics encourage repetition, with scope to deliver a ‘predictably unpredictable’ ball return. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_4577854f541bf912f90cc80450da5833.jpg"
"19","Beach Road Design ","","","1%","£110","£35,000 ","2","7.50%","55"," 6%","Portishead, North Somerset","EIS,","0","1","0","We believe that we have created a contemporary and intricately designed kitchen dish drainer that aspires to visually enhance a kitchen space. The aim of Asinka’s design is to enable the drip tray to send drained water back in to a sink unit which allows the item to stand directly on work surfaces in the absence of a draining board. This should allow plates, cutlery, glassware or delicate items to be stacked alongside pans or larger cookware. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_d477bfc658090b8c8d90d4093c455378.jpg"
"20","Gift Wrapped & Gorgeous ","","","1%","£750","£50,000 ","5","10.00%","51"," 6%","Bodmin, Cornwall","EIS,","52","79","1","Gift Wrapped & Gorgeous brings together people looking for beautiful gifts, home ware and jewellery, and the work of the UK's designer makers and creative businesses.They carefully handpick small creative businesses to showcase and sell a selection of UK designed lifestyle products and gift ideas for any gift occasion. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_295cd590034ee7962194851fa9bf88f1.jpg"
"21","Chateau Rouge - Gourmet Luxury Foods ","","","21%","£16,980","£80,000 ","23","20.00%","7"," 21%","Tower Hamlets, London","EIS,","31","25","2","Chateau Rouge (CR) is a London-based boutique luxury branded goods business, currently sourcing and selling specialty teas both online and in high-end retail outlets. Plans are in place to expand the range to include premium coffee, chocolate and other specialty food products, to further establish the European business and export internationally from London. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_5bdd5e23aa79c4ae5f1e752e450005db.jpg"
"22","Ecco Recordings ","","","12%","£11,180","£90,000 ","21","10.00%","27"," 12%","Newton Abbot, Devon","EIS,","0","0","0","Ecco Recordings is an independent record label and artist management company. Their first signing 'These Reigning Days' has had success and critical acclaim. Having been invited to join the likes of Adele, Fleetwood Mac and Mumford and Sons on the prestigious International Talent Agency’s roster, the band is soon to release their debut album. Ecco Recordings is now ready to launch the band internationally and to develop their pipeline of new emerging musical talent. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_52b073154598adc39d0c161a42058ebe.jpg"
"23","IQ Money ","","","3%","£4,810","£150,000 ","10","3.00%","3"," 8%","Camden, London","-,","6","2","1","IQ Money is a financial services company which is building a new kind of trading platform combining social networking, play trading and real financial trading. Social Trading is thecombination... Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ca6e7eef949dde52b89829b451f50226.jpg"
"24","Optimal Hosting ","","","21%","£87,080","£400,000 ","19","10.00%","6"," 21%","Islington, London","EIS,SEIS","27","1","3","Optimal Hosting was founded in July 2012 with the aim of delivering a highly reliable cloud-based web hosting solution to small and medium sized businesses for a low fixed price. They now have servers based around Europe and in various parts of the USA, which offers their clients a cloud infrastructure with unlimited data. They plan on entering three new international markets within the next 12 months. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_a085ec4c960683068439ecd6a91f3eb6.jpg"
"25","ViralFilmNetwork ","","","1%","£140","£150,000 ","4","35.00%","1"," 6%","Wakefield, West Yorkshire","SEIS,","0","2","0","The ViralFilmNetwork aims to be a social media platform for film. We believe that its creation will allow members to participate in every aspect of a film's creation, from script to screen. We want to be at the forefront of meshing social media with film content Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_84c110a8eaf64bc7bf7b52b5529a0a42.jpg"
"26","Smart Sofa ","","","0%","£0","£60,000 ","0","30.00%","59"," 0%","Isleworth, Greater London","SEIS,","0","0","0","Many of us have been there, trying to get a new sofa up the stairs, in the loft or down a basement  and how many times do we wish we could change our sofa from a three seated to a corner sofa or just add additional seats as our circumstances change?At Smart Sofa we have designed a flat packed modular sofa that we hope answers all of the above questions. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_25d1c703eeee3cd9386041a02a2a0b12.jpg"
"27","Yeezey ","","","0%","£0","£60,000 ","0","7.90%","58"," 0%","Islington, London","EIS,SEIS","0","0","0","Yeezey is a city-based website and mobile application that connects local customers and retailers. It plans to become the platform of choice for retailers looking to organise sales events online and an opportunity for buyers in search of local discovery and discounts.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_14e5b9285e7748aff098512ef166f8b3.jpg"
